Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,886932,2425,ZOMAOPT,ETERNAL26SEP355PE,24-SEP-2026,OPTSTK,PE,355,0.05,
BFO,884132,2425,ZOMAOPT,ETERNAL26SEP350PE,24-SEP-2026,OPTSTK,PE,350,0.05,
BFO,861417,2425,ZOMAOPT,ETERNAL26SEP345PE,24-SEP-2026,OPTSTK,PE,345,0.05,
BFO,861404,2425,ZOMAOPT,ETERNAL26SEP340PE,24-SEP-2026,OPTSTK,PE,340,0.05,
BFO,861512,2425,ZOMAOPT,ETERNAL26SEP335PE,24-SEP-2026,OPTSTK,PE,335,0.05,
BFO,858891,2425,ZOMAOPT,ETERNAL26SEP330PE,24-SEP-2026,OPTSTK,PE,330,0.05,
BFO,856927,2425,ZOMAOPT,ETERNAL26SEP325PE,24-SEP-2026,OPTSTK,PE,325,0.05,
BFO,856326,2425,ZOMAOPT,ETERNAL26SEP320PE,24-SEP-2026,OPTSTK,PE,320,0.05,
BFO,854288,2425,ZOMAOPT,ETERNAL26SEP315PE,24-SEP-2026,OPTSTK,PE,315,0.05,
BFO,854267,2425,ZOMAOPT,ETERNAL26SEP310PE,24-SEP-2026,OPTSTK,PE,310,0.05,
BFO,854463,2425,ZOMAOPT,ETERNAL26SEP305PE,24-SEP-2026,OPTSTK,PE,305,0.05,
BFO,852657,2425,ZOMAOPT,ETERNAL26SEP300PE,24-SEP-2026,OPTSTK,PE,300,0.05,
BFO,851443,2425,ZOMAOPT,ETERNAL26SEP295PE,24-SEP-2026,OPTSTK,PE,295,0.05,
BFO,851367,2425,ZOMAOPT,ETERNAL26SEP290PE,24-SEP-2026,OPTSTK,PE,290,0.05,
BFO,852156,2425,ZOMAOPT,ETERNAL26SEP285PE,24-SEP-2026,OPTSTK,PE,285,0.05,
BFO,852088,2425,ZOMAOPT,ETERNAL26SEP280PE,24-SEP-2026,OPTSTK,PE,280,0.05,
BFO,850208,2425,ZOMAOPT,ETERNAL26SEP277.5PE,24-SEP-2026,OPTSTK,PE,277.5,0.05,
BFO,849881,2425,ZOMAOPT,ETERNAL26SEP275PE,24-SEP-2026,OPTSTK,PE,275,0.05,
BFO,844782,2425,ZOMAOPT,ETERNAL26SEP272.5PE,24-SEP-2026,OPTSTK,PE,272.5,0.05,
BFO,847025,2425,ZOMAOPT,ETERNAL26SEP270PE,24-SEP-2026,OPTSTK,PE,270,0.05,
BFO,846663,2425,ZOMAOPT,ETERNAL26SEP267.5PE,24-SEP-2026,OPTSTK,PE,267.5,0.05,
BFO,848918,2425,ZOMAOPT,ETERNAL26SEP265PE,24-SEP-2026,OPTSTK,PE,265,0.05,
BFO,846481,2425,ZOMAOPT,ETERNAL26SEP262.5PE,24-SEP-2026,OPTSTK,PE,262.5,0.05,
BFO,848734,2425,ZOMAOPT,ETERNAL26SEP260PE,24-SEP-2026,OPTSTK,PE,260,0.05,
BFO,848369,2425,ZOMAOPT,ETERNAL26SEP257.5PE,24-SEP-2026,OPTSTK,PE,257.5,0.05,
BFO,843172,2425,ZOMAOPT,ETERNAL26SEP255PE,24-SEP-2026,OPTSTK,PE,255,0.05,
BFO,848189,2425,ZOMAOPT,ETERNAL26SEP252.5PE,24-SEP-2026,OPTSTK,PE,252.5,0.05,
BFO,842992,2425,ZOMAOPT,ETERNAL26SEP250PE,24-SEP-2026,OPTSTK,PE,250,0.05,
BFO,842597,2425,ZOMAOPT,ETERNAL26SEP247.5PE,24-SEP-2026,OPTSTK,PE,247.5,0.05,
BFO,844998,2425,ZOMAOPT,ETERNAL26SEP245PE,24-SEP-2026,OPTSTK,PE,245,0.05,
BFO,842395,2425,ZOMAOPT,ETERNAL26SEP242.5PE,24-SEP-2026,OPTSTK,PE,242.5,0.05,
BFO,844820,2425,ZOMAOPT,ETERNAL26SEP240PE,24-SEP-2026,OPTSTK,PE,240,0.05,
BFO,844466,2425,ZOMAOPT,ETERNAL26SEP237.5PE,24-SEP-2026,OPTSTK,PE,237.5,0.05,
BFO,852696,2425,ZOMAOPT,ETERNAL26SEP235PE,24-SEP-2026,OPTSTK,PE,235,0.05,
BFO,852620,2425,ZOMAOPT,ETERNAL26SEP230PE,24-SEP-2026,OPTSTK,PE,230,0.05,
BFO,887297,2425,ZOMAOPT,ETERNAL26SEP355CE,24-SEP-2026,OPTSTK,CE,355,0.05,
BFO,884392,2425,ZOMAOPT,ETERNAL26SEP350CE,24-SEP-2026,OPTSTK,CE,350,0.05,
BFO,861136,2425,ZOMAOPT,ETERNAL26SEP345CE,24-SEP-2026,OPTSTK,CE,345,0.05,
BFO,861129,2425,ZOMAOPT,ETERNAL26SEP340CE,24-SEP-2026,OPTSTK,CE,340,0.05,
BFO,861252,2425,ZOMAOPT,ETERNAL26SEP335CE,24-SEP-2026,OPTSTK,CE,335,0.05,
BFO,858781,2425,ZOMAOPT,ETERNAL26SEP330CE,24-SEP-2026,OPTSTK,CE,330,0.05,
BFO,857108,2425,ZOMAOPT,ETERNAL26SEP325CE,24-SEP-2026,OPTSTK,CE,325,0.05,
