support,resistance,width,lockedAt,breach,heldMs
24099.5,24130.45,30.95,03:50:39,support,314000
24084.7,24119.15,34.45,03:57:57,support,226000
24068.1,24097.05,28.95,04:03:53,support,219000
24055.5,24086.2,30.7,04:09:32,resistance,256000
24070.3,24100.95,30.65,04:15:48,resistance,307000
24086.2,24118.45,32.25,04:22:55,support,1255000
24074.65,24104.5,29.85,04:45:50,support,183000
24055.8,24086.25,30.45,04:50:53,support,854000
24041.35,24073.2,31.85,05:07:07,support,1802000
24018.2,24053.85,35.65,05:39:09,resistance,403000
24035.3,24064.7,29.4,05:47:52,resistance,1781000
24051.5,24077.05,25.55,06:19:33,resistance,207000
24064.05,24091.85,27.8,06:25:00,support,520000
24048.1,24077.45,29.35,06:35:40,support,2434000
24036.95,24063.65,26.7,07:18:14,resistance,950000
24047.4,24076.15,28.75,07:36:04,support,523000
24032.3,24061.2,28.9,07:46:47,resistance,3084000
24042.15,24072.6,30.45,08:40:11,support,407000
24031.7,24060.05,28.35,08:48:58,support,206000
24016.1,24046.65,30.55,08:55:40,resistance,361000
24032.15,24060.65,28.5,09:03:41,resistance,111000
24055.8,24097.05,41.25,09:07:32,support,53000
24034.6,24066.65,32.05,09:10:25,support,1853000
24024.2,24059.95,35.75,09:43:18,resistance,943000
