side,entryPrice,targetPrice,slPrice,outcome,timeToHitMs
PE,24099.3,24089.3,24109.3,TARGET,300000
PE,24084.25,24074.25,24094.25,TARGET,167000
PE,24067.7,24057.7,24077.7,STOPLOSS,125000
CE,24086.4,24096.4,24076.4,TARGET,378000
CE,24101.85,24111.85,24091.85,STOPLOSS,1207000
PE,24086.1,24076.1,24096.1,TARGET,290000
PE,24074.25,24064.25,24084.25,TARGET,160000
PE,24055.5,24045.5,24065.5,TARGET,412000
PE,24040.85,24030.85,24050.85,TARGET,30000
CE,24054.7,24064.7,24044.7,STOPLOSS,1298000
CE,24066.2,24076.2,24056.2,TARGET,203000
CE,24077.3,24087.3,24067.3,STOPLOSS,619000
PE,24063.8,24053.8,24073.8,TARGET,358000
PE,24048.05,24038.05,24058.05,STOPLOSS,909000
CE,24065.25,24075.25,24055.25,STOPLOSS,526000
PE,24047.3,24037.3,24057.3,TARGET,2011000
CE,24061.25,24071.25,24051.25,STOPLOSS,375000
PE,24041.7,24031.7,24051.7,TARGET,326000
PE,24031.65,24021.65,24041.65,STOPLOSS,477000
CE,24047.55,24057.55,24037.55,TARGET,230000
CE,24065.8,24075.8,24055.8,TARGET,11000
PE,24055.35,24045.35,24065.35,TARGET,44000
PE,24034.2,24024.2,24044.2,STOPLOSS,68000
CE,24078.3,24088.3,24068.3,OPEN_EOD,
