feature,avg_importance,rank
stddev,0.284167,1
Bollinger_5_1,0.265862,2
RSI_5_70_30_REV,0.17729,3
Bollinger_5_1.5__AND__EMA_5_13,0.174113,4
Bollinger_5_1__AND__ADX_20,0.157597,5
EMA_18_42__AND__ADX_20,0.153662,6
MACD_4_8_3__AND__Bollinger_30_1,0.149546,7
Bollinger_10_1__AND__EMA_21_49,0.144194,8
Bollinger_5_1.5__AND__EMA_18_42,0.14159,9
MACD_4_8_3__AND__ADX_20,0.141134,10
EMA_9_21__AND__ADX_14,0.138019,11
Bollinger_5_1.5__AND__Bollinger_10_1,0.136983,12
EMA_30_70__AND__ADX_14,0.136249,13
range,0.13591,14
EMA_24_56__AND__ADX_14,0.134142,15
Bollinger_10_1__AND__RSI_5_70_30_REV,0.127039,16
mad,0.11851,17
EMA_30_70__AND__ADX_20,0.116381,18
EMA_27_63__AND__Stoch_14_5,0.11564,19
MACD_20_40_15__AND__Bollinger_15_1,0.115601,20
Bollinger_5_1.5__AND__RSI_5_90_10_REV,0.113039,21
RSI_10_70_30_REV,0.108964,22
EMA_12_28__AND__ADX_20,0.107895,23
MACD_20_40_15__AND__Stoch_14_3,0.107746,24
Bollinger_5_1.5,0.106106,25
MACD_12_24_9__AND__RSI_5_70_30_REV,0.106085,26
Bollinger_5_1__AND__Bollinger_5_1.5,0.105972,27
MACD_8_16_6__AND__Bollinger_5_1,0.10489,28
EMA_27_63__AND__RSI_5_90_10_REV,0.104044,29
EMA_27_63__AND__ADX_20,0.103708,30
Bollinger_30_1__AND__EMA_9_21,0.103569,31
EMA_15_35__AND__RSI_5_70_30_REV,0.103092,32
ADX_14__AND__ADX_20,0.102812,33
EMA_30_70__AND__RSI_5_70_30_REV,0.101928,34
EMA_27_63__AND__RSI_5_80_20_REV,0.099627,35
Bollinger_10_1__AND__EMA_30_70,0.099306,36
Bollinger_5_1__AND__EMA_9_21,0.098862,37
MACD_12_26_9__AND__EMA_18_42,0.097358,38
Bollinger_15_1__AND__EMA_24_56,0.097154,39
ADX_20__AND__RSI_5_80_20_REV,0.096984,40
MACD_4_8_3__AND__Bollinger_25_1,0.096515,41
EMA_18_42__AND__Stoch_14_5,0.096373,42
MACD_12_26_9__AND__EMA_27_63,0.09584,43
EMA_18_42__AND__EMA_30_70,0.09501,44
EMA_5_13__AND__EMA_9_21,0.09492,45
MACD_20_40_15__AND__ADX_14,0.094666,46
Bollinger_5_1.5__AND__RSI_10_80_20_REV,0.094473,47
EMA_27_63__AND__RSI_30_70_30_REV,0.094222,48
EMA_27_63__AND__RSI_14_70_30_REV,0.093484,49
Bollinger_15_1.5__AND__EMA_5_13,0.093385,50
