indicator,good,bad,oscillating,total,success_rate,interval_label
RSI_5_90_10,1,0,0,1,100,5min
RSI_5_70_30__AND__RSI_5_90_10,1,0,0,1,100,5min
RSI_5_70_30__AND__MACD_12_26_9,1,0,0,1,100,5min
RSI_5_70_30__AND__EMA_24_56,4,0,0,4,100,5min
RSI_5_70_30__AND__EMA_27_63,2,0,1,2,100,5min
RSI_5_80_20__AND__RSI_5_90_10,1,0,0,1,100,5min
RSI_5_80_20__AND__EMA_21_49,3,0,0,3,100,5min
RSI_5_80_20__AND__EMA_24_56,4,0,0,4,100,5min
RSI_5_80_20__AND__EMA_27_63,1,0,0,1,100,5min
RSI_5_80_20__AND__ADX_14,2,0,0,2,100,5min
RSI_5_80_20__AND__ADX_20,2,0,0,2,100,5min
RSI_5_90_10__AND__RSI_10_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_10_80_20,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_14_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_15_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_20_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__RSI_25_70_30,1,0,0,1,100,5min
RSI_5_90_10__AND__EMA_18_42,1,0,0,1,100,5min
RSI_5_90_10__AND__EMA_24_56,1,0,0,1,100,5min
RSI_10_70_30__AND__EMA_21_49,2,0,0,2,100,5min
RSI_10_70_30__AND__EMA_24_56,4,0,0,4,100,5min
RSI_10_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_10_70_30__AND__ADX_14,1,0,0,1,100,5min
RSI_10_70_30__AND__ADX_20,1,0,0,1,100,5min
RSI_10_80_20__AND__MACD_4_8_3,1,0,0,1,100,5min
RSI_10_80_20__AND__EMA_21_49,1,0,0,1,100,5min
RSI_10_80_20__AND__EMA_24_56,3,0,0,3,100,5min
RSI_10_80_20__AND__EMA_27_63,1,0,0,1,100,5min
RSI_14_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_14_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_14_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_15_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_15_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_15_70_30__AND__EMA_27_63,1,0,1,1,100,5min
RSI_20_70_30__AND__MACD_4_8_3,1,0,0,1,100,5min
RSI_20_70_30__AND__EMA_21_49,1,0,0,1,100,5min
RSI_20_70_30__AND__EMA_24_56,3,0,0,3,100,5min
RSI_20_70_30__AND__EMA_27_63,1,0,0,1,100,5min
RSI_25_70_30__AND__MACD_4_8_3,1,0,0,1,100,5min
RSI_25_70_30__AND__EMA_24_56,2,0,0,2,100,5min
RSI_25_70_30__AND__EMA_27_63,1,0,0,1,100,5min
Bollinger_10_1.5__AND__RSI_15_80_20_REV,1,0,0,1,100,5min
Bollinger_15_1.5__AND__EMA_24_56,2,0,0,2,100,5min
Bollinger_15_2__AND__EMA_24_56,1,0,0,1,100,5min
Bollinger_15_2__AND__RSI_15_80_20_REV,1,0,0,1,100,5min
Bollinger_20_2__AND__EMA_24_56,2,0,0,2,100,5min
Bollinger_20_2__AND__RSI_15_80_20_REV,1,0,0,1,100,5min
RSI_14_70_30__AND__RSI_15_70_30,8,1,1,9,88.89,5min
RSI_10_80_20,6,1,0,7,85.71,5min
RSI_5_70_30__AND__RSI_10_80_20,6,1,0,7,85.71,5min
RSI_5_70_30__AND__RSI_14_70_30,6,1,1,7,85.71,5min
RSI_5_70_30__AND__RSI_15_70_30,6,1,1,7,85.71,5min
RSI_5_80_20__AND__RSI_10_80_20,6,1,0,7,85.71,5min
RSI_5_80_20__AND__RSI_14_70_30,6,1,0,7,85.71,5min
RSI_5_80_20__AND__RSI_15_70_30,6,1,0,7,85.71,5min
RSI_10_70_30__AND__RSI_10_80_20,6,1,0,7,85.71,5min
RSI_10_70_30__AND__RSI_14_70_30,6,1,1,7,85.71,5min
RSI_10_70_30__AND__RSI_15_70_30,6,1,1,7,85.71,5min
RSI_20_70_30,5,1,0,6,83.33,5min
RSI_5_70_30__AND__RSI_10_70_30,10,2,1,12,83.33,5min
RSI_5_70_30__AND__EMA_12_28,5,1,0,6,83.33,5min
RSI_5_80_20__AND__EMA_9_21,5,1,0,6,83.33,5min
RSI_10_70_30__AND__EMA_9_21,5,1,0,6,83.33,5min
RSI_14_70_30__AND__RSI_20_70_30,5,1,0,6,83.33,5min
RSI_15_70_30__AND__RSI_20_70_30,5,1,0,6,83.33,5min
EMA_24_56__AND__EMA_27_63,5,1,0,6,83.33,5min
RSI_5_80_20__AND__RSI_10_70_30,9,2,0,11,81.82,5min
RSI_14_70_30,8,2,1,10,80,5min
RSI_15_70_30,8,2,1,10,80,5min
RSI_5_70_30__AND__RSI_20_70_30,4,1,0,5,80,5min
RSI_5_70_30__AND__EMA_9_21,8,2,0,10,80,5min
RSI_5_70_30__AND__EMA_18_42,4,1,0,5,80,5min
RSI_5_80_20__AND__RSI_20_70_30,4,1,0,5,80,5min
RSI_5_80_20__AND__EMA_12_28,4,1,0,5,80,5min
RSI_10_70_30__AND__RSI_20_70_30,4,1,0,5,80,5min
RSI_10_70_30__AND__EMA_12_28,4,1,0,5,80,5min
RSI_10_80_20__AND__RSI_14_70_30,4,1,0,5,80,5min
RSI_10_80_20__AND__RSI_15_70_30,4,1,0,5,80,5min
RSI_10_80_20__AND__RSI_20_70_30,4,1,0,5,80,5min
RSI_14_70_30__AND__EMA_9_21,4,1,0,5,80,5min
RSI_15_70_30__AND__EMA_9_21,4,1,0,5,80,5min
RSI_20_70_30__AND__EMA_9_21,4,1,0,5,80,5min
RSI_5_80_20,11,3,0,14,78.57,5min
RSI_5_70_30__AND__RSI_5_80_20,11,3,0,14,78.57,5min
RSI_5_70_30,17,5,1,22,77.27,5min
RSI_10_70_30,10,3,1,13,76.92,5min
RSI_25_70_30,3,1,0,4,75,5min
RSI_5_70_30__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_5_80_20__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_5_80_20__AND__EMA_5_13,3,1,0,4,75,5min
RSI_5_80_20__AND__EMA_18_42,3,1,0,4,75,5min
RSI_10_70_30__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_10_70_30__AND__EMA_5_13,3,1,1,4,75,5min
RSI_10_70_30__AND__EMA_18_42,3,1,0,4,75,5min
RSI_10_80_20__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_10_80_20__AND__EMA_9_21,3,1,0,4,75,5min
RSI_10_80_20__AND__EMA_18_42,3,1,0,4,75,5min
RSI_14_70_30__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_14_70_30__AND__EMA_12_28,3,1,0,4,75,5min
RSI_14_70_30__AND__EMA_18_42,3,1,0,4,75,5min
RSI_15_70_30__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_15_70_30__AND__EMA_12_28,3,1,0,4,75,5min
RSI_15_70_30__AND__EMA_18_42,3,1,0,4,75,5min
RSI_20_70_30__AND__RSI_25_70_30,3,1,0,4,75,5min
RSI_20_70_30__AND__EMA_18_42,3,1,0,4,75,5min
Bollinger_10_1.5__AND__EMA_24_56,3,1,0,4,75,5min
EMA_18_42__AND__EMA_27_63,5,2,0,7,71.43,5min
EMA_9_21__AND__EMA_18_42,12,5,1,17,70.59,5min
EMA_9_21__AND__EMA_24_56,7,3,1,10,70,5min
RSI_5_70_30__AND__EMA_15_35,4,2,0,6,66.67,5min
RSI_5_70_30__AND__EMA_21_49,4,2,0,6,66.67,5min
RSI_5_70_30__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_5_70_30__AND__ADX_14,2,1,0,3,66.67,5min
RSI_5_70_30__AND__ADX_20,2,1,0,3,66.67,5min
RSI_5_80_20__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_10_70_30__AND__EMA_15_35,2,1,0,3,66.67,5min
RSI_10_70_30__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_10_80_20__AND__EMA_5_13,2,1,0,3,66.67,5min
RSI_10_80_20__AND__EMA_12_28,2,1,0,3,66.67,5min
RSI_10_80_20__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_14_70_30__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_15_70_30__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_20_70_30__AND__EMA_12_28,2,1,0,3,66.67,5min
RSI_20_70_30__AND__EMA_30_70,2,1,0,3,66.67,5min
RSI_25_70_30__AND__EMA_9_21,2,1,0,3,66.67,5min
RSI_25_70_30__AND__EMA_18_42,2,1,0,3,66.67,5min
MACD_12_24_9__AND__EMA_24_56,6,3,1,9,66.67,5min
MACD_12_26_9__AND__EMA_24_56,6,3,1,9,66.67,5min
MACD_16_32_12__AND__EMA_24_56,4,2,1,6,66.67,5min
Bollinger_25_2__AND__EMA_24_56,2,1,0,3,66.67,5min
Bollinger_30_2__AND__EMA_24_56,2,1,0,3,66.67,5min
EMA_24_56__AND__EMA_30_70,2,1,1,3,66.67,5min
EMA_24_56__AND__RSI_5_90_10_REV,2,1,0,3,66.67,5min
EMA_27_63__AND__RSI_5_90_10_REV,2,1,0,3,66.67,5min
EMA_9_21__AND__EMA_21_49,11,6,1,17,64.71,5min
EMA_18_42__AND__EMA_24_56,7,4,1,11,63.64,5min
EMA_24_56,12,7,1,19,63.16,5min
MACD_20_40_15__AND__EMA_24_56,5,3,1,8,62.5,5min
EMA_5_13__AND__EMA_24_56,5,3,0,8,62.5,5min
EMA_9_21__AND__EMA_27_63,5,3,0,8,62.5,5min
EMA_18_42__AND__EMA_21_49,8,5,1,13,61.54,5min
EMA_9_21__AND__EMA_15_35,14,9,1,23,60.87,5min
EMA_18_42,20,13,1,33,60.61,5min
MACD_8_16_6__AND__EMA_24_56,6,4,1,10,60,5min
MACD_24_48_18__AND__EMA_24_56,3,2,1,5,60,5min
Bollinger_20_1__AND__EMA_24_56,3,2,1,5,60,5min
Bollinger_20_1.5__AND__EMA_24_56,3,2,0,5,60,5min
Bollinger_25_1__AND__EMA_24_56,3,2,1,5,60,5min
Bollinger_25_1.5__AND__EMA_24_56,3,2,1,5,60,5min
Bollinger_30_1__AND__EMA_24_56,3,2,1,5,60,5min
Bollinger_30_1.5__AND__EMA_24_56,3,2,1,5,60,5min
EMA_12_28__AND__EMA_18_42,12,8,1,20,60,5min
EMA_21_49__AND__EMA_24_56,6,4,1,10,60,5min
EMA_24_56__AND__RSI_10_70_30_REV,3,2,1,5,60,5min
EMA_9_21__AND__EMA_12_28,16,11,1,27,59.26,5min
MACD_12_26_9__AND__EMA_18_42,10,7,1,17,58.82,5min
EMA_15_35__AND__EMA_18_42,10,7,1,17,58.82,5min
EMA_27_63,7,5,1,12,58.33,5min
MACD_16_32_12__AND__EMA_9_21,7,5,1,12,58.33,5min
MACD_12_26_9__AND__EMA_9_21,11,8,1,19,57.89,5min
EMA_21_49,15,11,1,26,57.69,5min
EMA_9_21,31,23,1,54,57.41,5min
MACD_20_40_15__AND__EMA_9_21,4,3,1,7,57.14,5min
Bollinger_10_1__AND__EMA_24_56,4,3,0,7,57.14,5min
Bollinger_15_1__AND__EMA_24_56,4,3,1,7,57.14,5min
EMA_21_49__AND__EMA_27_63,4,3,0,7,57.14,5min
MACD_8_16_6__AND__EMA_18_42,9,7,1,16,56.25,5min
MACD_12_24_9__AND__EMA_18_42,9,7,1,16,56.25,5min
MACD_16_32_12__AND__EMA_18_42,9,7,1,16,56.25,5min
EMA_5_13__AND__EMA_18_42,10,8,0,18,55.56,5min
EMA_9_21__AND__ADX_20,10,8,1,18,55.56,5min
EMA_18_42__AND__ADX_14,10,8,1,18,55.56,5min
EMA_18_42__AND__ADX_20,10,8,1,18,55.56,5min
MACD_8_16_6__AND__EMA_9_21,11,9,1,20,55,5min
MACD_12_24_9__AND__EMA_9_21,11,9,1,20,55,5min
MACD_4_8_3__AND__EMA_24_56,6,5,0,11,54.55,5min
EMA_9_21__AND__ADX_14,13,11,1,24,54.17,5min
MACD_12_24_9__AND__EMA_21_49,7,6,1,13,53.85,5min
MACD_12_26_9__AND__EMA_21_49,7,6,1,13,53.85,5min
EMA_12_28__AND__EMA_21_49,7,6,1,13,53.85,5min
EMA_5_13__AND__EMA_9_21,15,13,0,28,53.57,5min
EMA_15_35__AND__EMA_21_49,8,7,1,15,53.33,5min
EMA_21_49__AND__ADX_14,8,7,1,15,53.33,5min
EMA_21_49__AND__ADX_20,8,7,1,15,53.33,5min
EMA_12_28__AND__EMA_15_35,11,10,1,21,52.38,5min
EMA_12_28,24,23,1,47,51.06,5min
EMA_15_35,20,20,1,40,50,5min
RSI_5_70_30__AND__MACD_4_8_3,1,1,1,2,50,5min
RSI_5_70_30__AND__MACD_16_32_12,1,1,0,2,50,5min
