threshold,rank,indicator,good_count,bad_count,success_rate,total_good,total_bad,overall_success_rate
2.0,1,RSI_5_90_10__AND__RSI_30_80_20,2,0,100.0,33100,70643,31.91
2.0,2,RSI_20_80_20__AND__EMA_9_21,3,0,100.0,33100,70643,31.91
2.0,3,RSI_10_80_20__AND__EMA_27_63,4,0,100.0,33100,70643,31.91
2.0,4,RSI_10_80_20__AND__EMA_30_70,2,0,100.0,33100,70643,31.91
2.0,5,RSI_15_90_10__AND__EMA_5_13,1,0,100.0,33100,70643,31.91
4.0,1,RSI_10_70_30__AND__MACD_24_48_18,4,0,100.0,30661,63513,32.56
4.0,2,RSI_10_70_30__AND__MACD_20_40_15,1,0,100.0,30661,63513,32.56
4.0,3,RSI_25_80_20__AND__RSI_30_70_30,2,0,100.0,30661,63513,32.56
4.0,4,RSI_25_70_30__AND__EMA_30_70,2,0,100.0,30661,63513,32.56
4.0,5,RSI_25_70_30__AND__EMA_27_63,3,0,100.0,30661,63513,32.56
6.0,1,RSI_30_80_20__AND__Stoch_14_3,1,0,100.0,25146,47411,34.66
6.0,2,RSI_25_80_20__AND__RSI_30_80_20,2,0,100.0,25146,47411,34.66
6.0,3,RSI_14_80_20__AND__EMA_30_70,1,0,100.0,25146,47411,34.66
6.0,4,RSI_25_80_20__AND__RSI_30_70_30,2,0,100.0,25146,47411,34.66
6.0,5,RSI_5_70_30__AND__MACD_16_32_12,9,0,100.0,25146,47411,34.66
8.0,1,RSI_5_90_10__AND__EMA_21_49,3,0,100.0,23014,35383,39.41
8.0,2,RSI_10_80_20__AND__EMA_21_49,5,0,100.0,23014,35383,39.41
8.0,3,RSI_20_80_20__AND__EMA_12_28,2,0,100.0,23014,35383,39.41
8.0,4,RSI_20_80_20__AND__EMA_15_35,1,0,100.0,23014,35383,39.41
8.0,5,MACD_12_24_9__AND__Stoch_14_5,1,0,100.0,23014,35383,39.41
10.0,1,RSI_10_70_30__AND__MACD_24_48_18,2,0,100.0,17980,27384,39.63
10.0,2,RSI_25_80_20__AND__EMA_5_13,1,0,100.0,17980,27384,39.63
10.0,3,RSI_30_80_20__AND__EMA_15_35,1,0,100.0,17980,27384,39.63
10.0,4,RSI_30_70_30__AND__EMA_30_70,1,0,100.0,17980,27384,39.63
10.0,5,RSI_30_70_30__AND__EMA_27_63,2,0,100.0,17980,27384,39.63
12.0,1,RSI_14_80_20__AND__EMA_9_21,5,0,100.0,15998,22151,41.94
12.0,2,RSI_15_80_20__AND__EMA_9_21,4,0,100.0,15998,22151,41.94
12.0,3,RSI_15_80_20__AND__EMA_15_35,2,0,100.0,15998,22151,41.94
12.0,4,RSI_15_80_20__AND__EMA_21_49,1,0,100.0,15998,22151,41.94
12.0,5,RSI_15_80_20__AND__EMA_27_63,2,0,100.0,15998,22151,41.94
14.0,1,Bollinger_30_2__AND__RSI_10_90_10_REV,2,0,100.0,14573,16894,46.31
14.0,2,RSI_5_90_10__AND__EMA_24_56,1,0,100.0,14573,16894,46.31
14.0,3,EMA_21_49__AND__RSI_15_90_10_REV,1,0,100.0,14573,16894,46.31
14.0,4,RSI_5_80_20__AND__ADX_20,1,0,100.0,14573,16894,46.31
14.0,5,RSI_20_80_20__AND__EMA_9_21,3,0,100.0,14573,16894,46.31
16.0,1,EMA_27_63__AND__RSI_15_90_10_REV,1,0,100.0,11141,14087,44.16
16.0,2,ADX_20__AND__Stoch_14_3,2,0,100.0,11141,14087,44.16
16.0,3,RSI_14_80_20__AND__EMA_27_63,2,0,100.0,11141,14087,44.16
16.0,4,RSI_5_70_30__AND__ADX_20,4,0,100.0,11141,14087,44.16
16.0,5,RSI_5_80_20__AND__MACD_16_32_12,1,0,100.0,11141,14087,44.16
18.0,1,RSI_5_90_10__AND__RSI_25_80_20,3,0,100.0,9247,11446,44.69
18.0,2,RSI_10_70_30__AND__MACD_16_32_12,1,0,100.0,9247,11446,44.69
18.0,3,RSI_5_90_10__AND__EMA_24_56,1,0,100.0,9247,11446,44.69
18.0,4,MACD_12_26_9__AND__Stoch_14_5,1,0,100.0,9247,11446,44.69
18.0,5,RSI_5_90_10__AND__Stoch_14_5,4,0,100.0,9247,11446,44.69
20.0,1,RSI_5_90_10__AND__RSI_25_80_20,3,0,100.0,8371,10068,45.4
20.0,2,MACD_24_48_18__AND__RSI_30_70_30_REV,1,0,100.0,8371,10068,45.4
20.0,3,RSI_30_80_20__AND__EMA_15_35,1,0,100.0,8371,10068,45.4
20.0,4,RSI_30_80_20__AND__EMA_18_42,1,0,100.0,8371,10068,45.4
20.0,5,RSI_30_80_20__AND__Stoch_14_3,1,0,100.0,8371,10068,45.4
