feature,avg_importance,rank
stddev,0.252694,1
MACD_12_26_9,0.251249,2
range,0.190567,3
Bollinger_10_1,0.157129,4
Bollinger_30_1.5,0.152671,5
mad,0.144171,6
MACD_12_24_9,0.126131,7
RSI_20_70_30,0.117582,8
RSI_15_80_20,0.115168,9
ADX_14,0.111752,10
RSI_5_70_30,0.107454,11
Stoch_14_3,0.105354,12
RSI_5_80_20,0.105234,13
ADX_20,0.103084,14
RSI_20_80_20,0.098655,15
R2,0.094759,16
R1,0.090871,17
Bollinger_10_1.5,0.07962,18
RSI_10_90_10,0.076254,19
Bollinger_30_1,0.074318,20
S2,0.07407,21
RSI_14_70_30,0.073718,22
rate_of_change,0.072426,23
Bollinger_20_1.5,0.069093,24
Bollinger_20_1,0.067623,25
Bollinger_10_2,0.06706,26
diff,0.066708,27
MACD_16_32_12,0.064724,28
EMA_9_21,0.061952,29
RSI_25_70_30,0.061497,30
