indicator,good,bad,total,success_rate
RSI_10_90_10,11,0,11,100.0
RSI_14_90_10,5,0,5,100.0
RSI_30_80_20,2,0,2,100.0
RSI_15_90_10,4,0,4,100.0
RSI_25_80_20,7,0,7,100.0
RSI_14_80_20,28,1,29,96.55
RSI_15_80_20,25,1,26,96.15
RSI_5_90_10,40,2,42,95.24
RSI_20_80_20,14,1,15,93.33
RSI_10_80_20,52,5,57,91.23
RSI_30_70_30,39,8,47,82.98
RSI_5_80_20,96,26,122,78.69
RSI_25_70_30,48,19,67,71.64
RSI_5_70_30,174,73,247,70.45
RSI_10_70_30,114,48,162,70.37
Stoch_14_5,41,18,59,69.49
RSI_15_70_30,80,37,117,68.38
RSI_20_70_30,61,29,90,67.78
RSI_14_70_30,84,41,125,67.2
EMA_5_13,316,189,505,62.57
Bollinger_30_1.5,90,54,144,62.5
Bollinger_15_1,168,105,273,61.54
EMA_12_28,264,168,432,61.11
Bollinger_5_1,183,118,301,60.8
ADX_14,158,103,261,60.54
Bollinger_20_1,158,104,262,60.31
Bollinger_25_1.5,91,60,151,60.26
ADX_20,111,75,186,59.68
Bollinger_25_1,153,104,257,59.53
MACD_4_8_3,307,210,517,59.38
Bollinger_15_1.5,92,63,155,59.35
Stoch_14_3,49,34,83,59.04
EMA_18_42,229,160,389,58.87
Bollinger_10_1,170,119,289,58.82
Bollinger_5_1.5,81,57,138,58.7
Bollinger_30_1,141,104,245,57.55
Bollinger_20_1.5,85,63,148,57.43
MACD_8_16_6,260,197,457,56.89
EMA_24_56,205,156,361,56.79
EMA_9_21,261,201,462,56.49
Bollinger_10_1.5,89,69,158,56.33
EMA_15_35,228,182,410,55.61
EMA_27_63,192,155,347,55.33
EMA_30_70,184,149,333,55.26
EMA_21_49,206,169,375,54.93
Bollinger_15_2,34,29,63,53.97
MACD_12_26_9,221,189,410,53.9
Bollinger_30_2,34,30,64,53.12
MACD_12_24_9,219,197,416,52.64
MACD_20_40_15,187,176,363,51.52
Bollinger_20_2,35,33,68,51.47
MACD_16_32_12,196,189,385,50.91
Bollinger_25_2,33,32,65,50.77
MACD_24_48_18,169,172,341,49.56
Bollinger_10_2,24,29,53,45.28
Bollinger_5_2,0,0,0,0.0
RSI_25_90_10,0,0,0,0.0
RSI_30_90_10,0,0,0,0.0
RSI_20_90_10,0,0,0,0.0
