
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
+--------+----------+--------+-------+--------+
| 15     | 22       | 7      | 85.7% | 1612   |
| 21     | 5        | 7      | 85.7% | 224    |
| 21     | 6        | 7      | 85.7% | -416   |
| 4      | 6        | 9      | 77.8% | -78    |
| 22     | 10       | 156    | 77.6% | 244039 |
| 5      | 16       | 8      | 75%   | 1264   |
| 20     | 6        | 8      | 75%   | 237    |
| 7      | 21       | 8      | 75%   | 10     |
| 8      | 21       | 8      | 75%   | -81    |
| 8      | 7        | 8      | 75%   | -149   |
| 7      | 8        | 8      | 75%   | -221   |
| 24     | 10       | 8      | 75%   | -1654  |
| 19     | 24       | 7      | 71.4% | 406    |
| 13     | 8        | 7      | 71.4% | 309    |
| 19     | 8        | 7      | 71.4% | 52     |
| 21     | 8        | 7      | 71.4% | -1397  |
| 21     | 7        | 7      | 71.4% | -2015  |
| 29     | 7        | 7      | 71.4% | -2171  |
| 1      | 30       | 9      | 66.7% | 1401   |
| 3      | 21       | 9      | 66.7% | 1284   |
| 3      | 19       | 9      | 66.7% | 1235   |
| 3      | 13       | 9      | 66.7% | 1157   |
| 3      | 16       | 9      | 66.7% | 1011   |
| 1      | 17       | 9      | 66.7% | 887    |
| 3      | 17       | 9      | 66.7% | 845    |
| 3      | 20       | 9      | 66.7% | 767    |
| 3      | 18       | 9      | 66.7% | 725    |
| 1      | 18       | 9      | 66.7% | 683    |
| 1      | 20       | 9      | 66.7% | 608    |
| 1      | 29       | 9      | 66.7% | 510    |
| 1      | 28       | 9      | 66.7% | 504    |
| 1      | 25       | 9      | 66.7% | 501    |
| 1      | 7        | 9      | 66.7% | 481    |
| 2      | 8        | 9      | 66.7% | 475    |
| 1      | 8        | 9      | 66.7% | 387    |
| 1      | 9        | 9      | 66.7% | 387    |
| 1      | 14       | 9      | 66.7% | 345    |
| 1      | 22       | 9      | 66.7% | 276    |
| 1      | 11       | 9      | 66.7% | 254    |
| 2      | 7        | 9      | 66.7% | 234    |
| 1      | 21       | 9      | 66.7% | 221    |
| 1      | 19       | 9      | 66.7% | 150    |
| 1      | 10       | 9      | 66.7% | 117    |
| 1      | 12       | 9      | 66.7% | 33     |
| 1      | 23       | 9      | 66.7% | -104   |
| 1      | 26       | 9      | 66.7% | -104   |
| 1      | 6        | 9      | 66.7% | -250   |
| 2      | 5        | 9      | 66.7% | -263   |
| 2      | 11       | 9      | 66.7% | -546   |
| 1      | 5        | 9      | 66.7% | -725   |
| 5      | 15       | 8      | 62.5% | 920    |
| 5      | 9        | 8      | 62.5% | 835    |
| 2      | 30       | 8      | 62.5% | 566    |
| 8      | 8        | 8      | 62.5% | 540    |
| 5      | 11       | 8      | 62.5% | 488    |
| 9      | 8        | 8      | 62.5% | 419    |
| 1      | 24       | 8      | 62.5% | 315    |
| 7      | 9        | 8      | 62.5% | 140    |
| 2      | 6        | 8      | 62.5% | 114    |
| 5      | 14       | 8      | 62.5% | 114    |
| 7      | 30       | 8      | 62.5% | -16    |
| 6      | 28       | 8      | 62.5% | -32    |
| 7      | 17       | 8      | 62.5% | -52    |
| 9      | 24       | 8      | 62.5% | -133   |
| 8      | 29       | 8      | 62.5% | -195   |
| 5      | 8        | 8      | 62.5% | -224   |
| 8      | 20       | 8      | 62.5% | -247   |
| 6      | 15       | 8      | 62.5% | -322   |
| 4      | 29       | 8      | 62.5% | -344   |
| 8      | 6        | 8      | 62.5% | -403   |
| 5      | 30       | 8      | 62.5% | -510   |
| 17     | 6        | 8      | 62.5% | -747   |
| 18     | 22       | 8      | 62.5% | -848   |
| 19     | 19       | 8      | 62.5% | -1372  |
| 20     | 7        | 8      | 62.5% | -1934  |
| 1      | 13       | 10     | 60%   | -68    |
| 28     | 22       | 7      | 57.1% | 712    |
| 18     | 19       | 7      | 57.1% | -1765  |
| 14     | 18       | 7      | 57.1% | -1856  |
| 18     | 18       | 7      | 57.1% | -2083  |
| 13     | 9        | 7      | 57.1% | -2236  |
| 18     | 20       | 7      | 57.1% | -2772  |
| 21     | 20       | 7      | 57.1% | -3208  |
| 28     | 18       | 7      | 57.1% | -3643  |
| 22     | 11       | 7      | 57.1% | -4264  |
| 21     | 21       | 7      | 57.1% | -4712  |
| 4      | 18       | 9      | 55.6% | -806   |
| 29     | 23       | 6      | 50%   | 595    |
| 5      | 17       | 8      | 50%   | 426    |
| 6      | 17       | 8      | 50%   | -413   |
| 6      | 29       | 8      | 50%   | -461   |
| 6      | 30       | 8      | 50%   | -741   |
| 6      | 12       | 8      | 50%   | -910   |
| 6      | 13       | 8      | 50%   | -1004  |
| 7      | 16       | 8      | 50%   | -1017  |
| 8      | 12       | 8      | 50%   | -1085  |
| 7      | 25       | 8      | 50%   | -1105  |
| 14     | 6        | 8      | 50%   | -1108  |
| 6      | 26       | 8      | 50%   | -1157  |
| 9      | 10       | 8      | 50%   | -1180  |
| 6      | 21       | 8      | 50%   | -1281  |
| 23     | 20       | 2      | 50%   | -1485  |
| 18     | 5        | 8      | 50%   | -1599  |
| 13     | 15       | 8      | 50%   | -1641  |
| 8      | 25       | 8      | 50%   | -1771  |
| 24     | 5        | 8      | 50%   | -1986  |
| 18     | 6        | 8      | 50%   | -2135  |
| 9      | 25       | 8      | 50%   | -2268  |
| 17     | 5        | 8      | 50%   | -2281  |
| 13     | 16       | 8      | 50%   | -2444  |
| 8      | 13       | 8      | 50%   | -2450  |
| 17     | 20       | 6      | 50%   | -2460  |
| 10     | 16       | 8      | 50%   | -2600  |
| 13     | 10       | 8      | 50%   | -2879  |
| 11     | 5        | 8      | 50%   | -3819  |
| 29     | 11       | 8      | 50%   | -4530  |
| 30     | 11       | 8      | 50%   | -5223  |
| 27     | 6        | 6      | 50%   | -5398  |
| 28     | 11       | 7      | 42.9% | -738   |
| 27     | 21       | 7      | 42.9% | -774   |
| 26     | 21       | 7      | 42.9% | -842   |
| 22     | 19       | 7      | 42.9% | -1492  |
| 24     | 27       | 7      | 42.9% | -1722  |
| 11     | 16       | 7      | 42.9% | -2018  |
| 15     | 18       | 7      | 42.9% | -2587  |
| 11     | 11       | 7      | 42.9% | -2626  |
| 10     | 7        | 7      | 42.9% | -2688  |
| 11     | 12       | 7      | 42.9% | -2740  |
| 10     | 25       | 7      | 42.9% | -2928  |
| 14     | 12       | 7      | 42.9% | -3211  |
| 15     | 17       | 7      | 42.9% | -3334  |
| 14     | 13       | 7      | 42.9% | -3377  |
| 15     | 15       | 7      | 42.9% | -3471  |
| 19     | 26       | 7      | 42.9% | -3523  |
| 15     | 16       | 7      | 42.9% | -3614  |
| 16     | 25       | 7      | 42.9% | -3630  |
| 16     | 28       | 7      | 42.9% | -3812  |
| 16     | 27       | 7      | 42.9% | -3910  |
| 19     | 20       | 7      | 42.9% | -4072  |
| 29     | 10       | 7      | 42.9% | -4384  |
| 28     | 7        | 7      | 42.9% | -4738  |
| 26     | 17       | 7      | 42.9% | -4790  |
