"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"844615","FUTIND","BSESEN","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",63800,0,20,5,"BSE SENSEX","","","","",72572.2,77061.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7483340,"SENSEX"
"845529","FUTIND","BANKEX","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1890,0,30,5,"BANKEX","","","","",62092.6,65933.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6399035,"BANKEX"
"848728","FUTIND","BSEFOC","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4185,0,45,100,"BSE FOCUSED IT INDEX","","","","",33301,35359,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3433000,"FOCIT"
"864571","FUTIND","BSESEN","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",28260,0,20,5,"BSE SENSEX","","","","",73140.9,77665,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7544405,"SENSEX"
"1111837","FUTIND","BSEFOC","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,100,"BSE FOCUSED IT INDEX","","","","",33530,35602,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3675849,"FOCIT"
"876157","FUTIND","BSEFOC","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1485,0,45,100,"BSE FOCUSED IT INDEX","","","","",33359,35421,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3442200,"FOCIT"
"1100929","FUTIND","BSESEN","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2960,0,20,5,"BSE SENSEX","","","","",73526.75,78074.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7580180,"SENSEX"
"1102569","FUTIND","BANKEX","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",62578.9,66449.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6453590,"BANKEX"
"865646","FUTIND","BANKEX","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",62315.4,66169.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6484224,"BANKEX"
"837931","OPTIND","BSESEN","OPTION","24-Sep-2026","91000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",13647.45,18905.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8576201,"SENSEX"
"838729","OPTIND","BSESEN","OPTION","24-Sep-2026","91000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",9040,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839136","OPTIND","BSESEN","OPTION","24-Sep-2026","75100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",865040,0,20,5,"BSE SENSEX","","","","",0.05,1268.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839137","OPTIND","BSESEN","OPTION","24-Sep-2026","77400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",48940,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839138","OPTIND","BSESEN","OPTION","24-Sep-2026","79700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",6660,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839142","OPTIND","BSESEN","OPTION","24-Sep-2026","71400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",688.5,5946.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839143","OPTIND","BSESEN","OPTION","24-Sep-2026","73700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",8160,0,20,5,"BSE SENSEX","","","","",0.05,3515.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839147","OPTIND","BSESEN","OPTION","24-Sep-2026","81400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1260,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839148","OPTIND","BSESEN","OPTION","24-Sep-2026","83700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",820,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839150","OPTIND","BSESEN","OPTION","24-Sep-2026","79100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",280,0,20,5,"BSE SENSEX","","","","",1751.1,7009.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839153","OPTIND","BSESEN","OPTION","24-Sep-2026","73100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",301400,0,20,5,"BSE SENSEX","","","","",0.05,118.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839154","OPTIND","BSESEN","OPTION","24-Sep-2026","75400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",31800,0,20,5,"BSE SENSEX","","","","",0.05,2796.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839155","OPTIND","BSESEN","OPTION","24-Sep-2026","77700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1560,0,20,5,"BSE SENSEX","","","","",357.95,5609.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839156","OPTIND","BSESEN","OPTION","24-Sep-2026","71700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",254840,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839158","OPTIND","BSESEN","OPTION","24-Sep-2026","78400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",25020,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839160","OPTIND","BSESEN","OPTION","24-Sep-2026","83100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5749.9,11008.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839161","OPTIND","BSESEN","OPTION","24-Sep-2026","74700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",599240,0,20,5,"BSE SENSEX","","","","",0.05,1875.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839162","OPTIND","BSESEN","OPTION","24-Sep-2026","81700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4350.25,9608.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839168","OPTIND","BSESEN","OPTION","24-Sep-2026","75300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",863380,0,20,5,"BSE SENSEX","","","","",0.05,1008.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839169","OPTIND","BSESEN","OPTION","24-Sep-2026","77600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",87900,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
