Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Opening Gap,Close - Open,WeekDay,Abs(Diff),Distance from Median,
17-Jun-2019,11844,11844.05,11657.75,11672.15,295528399,13851.67,,,2,,,
18-Jun-2019,11677.05,11727.2,11641.15,11691.5,365525622,16120.69,,,3,,,
19-Jun-2019,11744.45,11802.5,11625.1,11691.45,446933027,18722.71,,,4,,,
20-Jun-2019,11653.65,11843.5,11635.05,11831.75,442016954,18839.11,-38,178,5,178,,131.63880597015
21-Jun-2019,11827.6,11827.95,11705.1,11724.1,468430388,23346.13,,,6,,,
24-Jun-2019,11725.8,11754,11670.2,11699.65,277620788,12631.38,,,2,,,
25-Jun-2019,11681,11814.4,11651,11796.45,300476353,13822.83,,,3,,,
26-Jun-2019,11768.15,11871.85,11757.55,11847.55,327885018,14650.89,,,4,,,
27-Jun-2019,11860.85,11911.15,11821.05,11841.55,480169350,23300.3,13,-19,5,19,,
28-Jun-2019,11861.15,11871.7,11775.5,11788.85,303888701,15191.9,,,6,,,
01-Jul-2019,11839.9,11884.65,11830.8,11865.6,278415889,12874.96,,,2,,,
02-Jul-2019,11890.3,11917.45,11814.7,11910.3,363197036,13615.94,,,3,,,
03-Jul-2019,11932.15,11945.2,11887.05,11916.75,340527508,14290.33,,,4,,,
04-Jul-2019,11928.8,11969.25,11923.65,11946.75,333595172,14758.87,12,18,5,18,,79.0499999999993
05-Jul-2019,11964.75,11981.75,11797.9,11811.15,530720039,18871.99,,,6,,,
08-Jul-2019,11770.4,11771.9,11523.3,11558.6,464029444,19146.25,,,2,,,
09-Jul-2019,11531.6,11582.55,11461,11555.9,442520253,21577.95,,,3,,,
10-Jul-2019,11536.15,11593.7,11475.65,11498.9,337571014,16098.53,,,4,,,
11-Jul-2019,11561.45,11599,11519.5,11582.9,317257578,14586.2,63,21,5,21,,
12-Jul-2019,11601.15,11639.55,11538.6,11552.5,359421182,16947.57,,,6,,,
15-Jul-2019,11614.75,11618.4,11532.3,11588.35,368788782,15835.99,,,2,,,
16-Jul-2019,11596.65,11670.05,11573.95,11662.6,480156167,15967.91,,,3,,,
17-Jul-2019,11670.75,11706.65,11651.15,11687.5,464827734,15250.5,,,4,,,
18-Jul-2019,11675.6,11677.15,11582.4,11596.9,498258158,16684.03,-12,-79,5,79,,
19-Jul-2019,11627.95,11640.35,11399.3,11419.25,446049198,17326.4,,,6,,,
22-Jul-2019,11392.85,11398.15,11301.25,11346.2,516044335,19304.23,,,2,,,
23-Jul-2019,11372.25,11398.15,11302.8,11331.05,458931191,19199.32,,,3,,,
24-Jul-2019,11322.45,11359.75,11229.8,11271.3,413202832,18353.13,,,4,,,
25-Jul-2019,11290.4,11361.4,11239.35,11252.15,553676897,24329.21,19,-38,5,38,,
26-Jul-2019,11247.45,11307.6,11210.05,11284.3,522670420,20350.38,,,6,,,
29-Jul-2019,11307.5,11310.95,11152.4,11189.2,482862376,18705.92,,,2,,,
30-Jul-2019,11213.7,11267.45,11072.65,11085.4,479059399,20545.71,,,3,,,
31-Jul-2019,11034.05,11145.3,10999.4,11118,536694278,23681.22,,,4,,,
01-Aug-2019,11060.2,11076.75,10881,10980,499918953,21048.32,-58,-80,5,80,,
02-Aug-2019,10930.3,11080.15,10848.95,10997.35,547416246,23972.04,,,6,,,
05-Aug-2019,10895.8,10895.8,10782.6,10862.6,506556609,20824.1,,,2,,,
06-Aug-2019,10815.4,11018.55,10813.8,10948.25,517891491,21676.4,,,3,,,
07-Aug-2019,10958.1,10975.65,10835.9,10855.5,548465787,21228.28,,,4,,,
08-Aug-2019,10899.2,11058.05,10842.95,11032.45,482471622,20667.6,44,133,5,133,,
09-Aug-2019,11087.9,11181.45,11062.8,11109.65,538063563,21092.05,,,6,,,
13-Aug-2019,11139.4,11145.9,10901.6,10925.85,624634647,24790.67,,,3,,,
14-Aug-2019,11003.25,11078.15,10935.6,11029.4,511541716,19712.81,,,4,,,
16-Aug-2019,11043.65,11068.65,10924.3,11047.8,470909918,19281.91,,,6,,,
19-Aug-2019,11094.8,11146.9,11037.85,11053.9,369493161,14120.35,,,2,,,
20-Aug-2019,11063.9,11076.3,10985.3,11017,444715679,16915.96,,,3,,,
21-Aug-2019,11018.15,11034.2,10906.65,10918.7,557867906,16747.99,,,4,,,
22-Aug-2019,10905.3,10908.25,10718.3,10741.35,668193449,18764.38,-13,-164,5,164,,
23-Aug-2019,10699.6,10862.55,10637.15,10829.35,667079625,20983.75,,,6,,,
26-Aug-2019,11000.3,11070.3,10756.55,11057.85,684141923,22375.99,,,2,,,
27-Aug-2019,11106.55,11141.75,11049.5,11105.35,685551267,27413.16,,,3,,,
28-Aug-2019,11101.3,11129.65,10987.65,11046.1,549954696,16739.43,,,4,,,
29-Aug-2019,10996.05,11021.1,10922.4,10948.3,649876160,20127.77,-50,-48,5,48,,
30-Aug-2019,10987.8,11042.6,10874.8,11023.25,628154431,21057.31,,,6,,,
03-Sep-2019,10960.95,10967.5,10772.7,10797.9,483038985,16595.6,,,3,,,
04-Sep-2019,10790.4,10858.75,10746.35,10844.65,508784352,19195.1,,,4,,,
05-Sep-2019,10860.95,10920.1,10816,10847.9,595699267,18279.88,16,-13,5,13,,
06-Sep-2019,10883.8,10957.05,10867.45,10946.2,497214445,18167.78,,,6,,,
09-Sep-2019,10936.7,11028.85,10889.8,11003.05,412471067,14762.07,,,2,,,
11-Sep-2019,11028.5,11054.8,11011.65,11035.7,687140326,19550.59,,,4,,,
12-Sep-2019,11058.3,11081.75,10964.95,10982.8,551436050,17510.17,23,-76,5,76,,
13-Sep-2019,10986.8,11084.45,10945.75,11075.9,624305151,18012.76,,,6,,,
16-Sep-2019,10994.85,11052.7,10968.2,11003.5,434449776,15786.17,,,2,,,
17-Sep-2019,11000.1,11000.1,10796.5,10817.6,482013044,17721.93,,,3,,,
18-Sep-2019,10872.8,10885.15,10804.85,10840.65,519155072,16784.43,,,4,,,
19-Sep-2019,10845.2,10845.2,10670.25,10704.8,642599183,16642.83,5,-140,5,140,,
20-Sep-2019,10746.8,11381.9,10691,11274.2,1356767450,54081.53,,,6,,,
23-Sep-2019,11542.7,11694.85,11471.35,11600.2,882826741,40005.01,,,2,259,,
24-Sep-2019,11590.7,11655.05,11539.2,11588.2,651722255,26930.07,,,3,,,
25-Sep-2019,11564.85,11564.95,11416.1,11440.2,629054640,25266.24,,,4,,,
26-Sep-2019,11469.85,11610.85,11466.35,11571.2,844465614,30707.84,30,101,5,101,,
27-Sep-2019,11556.35,11593.6,11499.75,11512.4,650017280,19036.94,,,6,,,
