"Close","Tag 1 SD","Tag 2 SD","Stochastic","Combination","SMA 5","SMA 20"
"9845.7",,,,,,
"9850.7",,,,,,
"9841.55",,,,,,
"9855.6",,,,,,
"9862.65",,,,,,
"9864.9",,,,,,
"9871.75",,,,,,
"9877.85",,,,,,
"9879.15",,,,,,
"9892.45",,,,,,
"9900.15",,,,,,
"9916.45",,,,,,
"9928.45",,,,,,
"9932.3",,,,,,
"9927.55",,,,,,
"9923.2",,,,,"Sell",
"9906.75",,,,,,
"9922.4",,,,,"Buy",
"9908.45",,,,,"Sell",
"9907.35",,,,,,
"9904.2",,,,,,
"9900.95",,,,,,
"9914.35",,,,,"Buy",
"9921",,,,,,
"9910.25",,,,,,
"9919.55",,,,,"Buy",
"9923.65",,,,,,
"9924.75",,,,,,
"9920.5",,,,,,
"9922.9",,,,,"Buy",
"9926.6",,,,,"Buy",
"9922.55",,,,,"Sell",
"9919.85",,,,,"Sell",
"9943.85","tagUpper","tagUpper",,,"Buy",
"9949.3","tagUpper","tagUpper",,,,
"9944.95","tagUpper",,,,,
"9943.85","tagUpper",,,,,
"9941.05","tagUpper",,,,,
"9940.3","tagUpper",,,,,
"9938.35",,,,,,
"9940.2",,,,,,
"9936.75",,,,,"Sell",
"9924.45",,,,,"Sell","Sell"
"9938.95",,,,,"Buy","Buy"
"9933.3",,,,,"Sell",
"9927.55",,,,,"Sell","Sell"
"9927.9",,,,,,
"9926.45",,,,,,
"9914.6","tagLower",,"Sell","Sell","Sell",
"9918.6","tagLower",,"Sell","Sell",,
"9901.1","tagLower","tagLower","Sell","Sell","Sell",
"9896.1","tagLower","tagLower","Sell","Sell",,
"9892.6","tagLower","tagLower","Sell","Sell",,
"9887.35","tagLower","tagLower","Sell","Sell",,
"9887.15","tagLower",,"Sell","Sell",,
"9882.45","tagLower",,"Sell","Sell",,
"9886.4","tagLower",,"Sell","Sell",,
"9894.55",,,,,"Buy",
"9882.5","tagLower",,"Sell","Sell","Sell",
"9900.35",,,,,"Buy",
"9911.1",,,,,,"Buy"
"9907.95",,,,,,
"9897.25",,,,,"Sell","Sell"
"9885.05","tagLower",,,,,
"9883.8","tagLower",,"Sell","Sell",,
"9888.2",,,"Sell",,,
"9887.65",,,"Sell",,"Sell",
"9877.2","tagLower",,"Sell","Sell","Sell",
"9870.15","tagLower",,"Sell","Sell",,
"9867.75","tagLower","tagLower","Sell","Sell",,
"9877","tagLower",,,,"Buy",
"9875.8","tagLower",,"Sell","Sell",,
"9873.95","tagLower",,"Sell","Sell",,
"9872.1","tagLower",,"Sell","Sell","Sell",
"9882.15",,,,,"Buy",
"9882.7",,,,,,
"9880.9",,,,,,
"9884.55",,,,,,"Buy"
"9886.6",,,,,,"Buy"
"9878.75",,,,,"Sell","Sell"
"9874.9",,,,,,
"9874.85",,,,,,
"9871.85","tagLower",,,,,
"9868.4","tagLower",,"Sell","Sell",,
"9883.15",,,,,"Buy","Buy"
"9881.6",,,,,,
"9877.05",,,,,,
"9873.35",,,,,"Sell","Sell"
"9870.35","tagLower",,,,,
"9881.6",,,,,"Buy","Buy"
"9883.4","tagUpper",,,,,
"9890.5","tagUpper","tagUpper","Buy","Buy",,
"9885.9","tagUpper",,,,,
"9890.55","tagUpper",,"Buy","Buy","Buy",
"9888.35","tagUpper",,"Buy","Buy",,
"9888.3","tagUpper",,"Buy","Buy",,
"9882.8",,,,,"Sell",
"9885.55",,,,,,
"9883.1",,,,,,
"9881.4",,,,,,
"9885.5",,,,,"Buy",
"9902.85","tagUpper","tagUpper",,,"Buy",
"9907.3","tagUpper","tagUpper","Buy","Buy",,
"9903.85","tagUpper",,"Buy","Buy",,
"9903.1","tagUpper",,"Buy","Buy",,
"9904.6","tagUpper",,"Buy","Buy","Buy",
"9892.95",,,,,"Sell",
"9904.35","tagUpper",,"Buy","Buy","Buy",
"9905.85","tagUpper",,"Buy","Buy",,
"9905.5","tagUpper",,"Buy","Buy",,
"9901.05",,,,,"Sell",
"9903.75",,,"Buy",,,
"9899.3",,,,,"Sell",
"9906.35","tagUpper",,"Buy","Buy","Buy",
"9910.6","tagUpper",,"Buy","Buy",,
"9914","tagUpper",,"Buy","Buy",,
"9919.15","tagUpper",,"Buy","Buy",,
"9915.15","tagUpper",,"Buy","Buy",,
"9914.1","tagUpper",,"Buy","Buy","Sell",
"9905",,,,,"Sell",
"9910.3",,,,,,"Buy"
"9886.35","tagLower","tagLower",,,"Sell","Sell"
"9876.25","tagLower","tagLower",,,,
"9888.15","tagLower",,,,,
"9884.4","tagLower",,"Sell","Sell",,
"9897.25",,,,,"Buy",
"9893.95",,,,,,
"9894.05",,,,,,
"9909.1",,,,,"Buy","Buy"
"9902.2",,,,,,
"9906.75",,,,,,
"9904.05",,,,,,
"9897",,,,,"Sell","Sell"
"9895.75",,,,,,
"9905.25",,,,,"Buy","Buy"
"9911.55",,,,,,
"9932.5","tagUpper","tagUpper","Buy","Buy",,
"9934.35","tagUpper","tagUpper","Buy","Buy",,
"9929.85","tagUpper",,"Buy","Buy",,
"9927","tagUpper",,"Buy","Buy",,
"9918.65",,,,,,
"9927.05","tagUpper",,"Buy","Buy","Buy",
"9930.15","tagUpper",,"Buy","Buy",,
"9933.25","tagUpper",,"Buy","Buy",,
"9923.35",,,,,"Sell",
"9926.55",,,"Buy",,,
"9925.4",,,,,,
"9926.6",,,,,,
"9929.05",,,"Buy",,,
"9925.65",,,,,"Sell",
"9918.15",,,,,"Sell","Sell"
"9921.55",,,,,,
"9922.9",,,,,,
"9936.65","tagUpper",,,,"Buy","Buy"
"9942.7","tagUpper","tagUpper","Buy","Buy",,
"9937.2","tagUpper",,,,,
"9939.3","tagUpper",,"Buy","Buy",,
"9941.15","tagUpper",,"Buy","Buy",,
"9945.6","tagUpper",,"Buy","Buy",,
"9946.7","tagUpper",,"Buy","Buy",,
"9953.3","tagUpper","tagUpper","Buy","Buy",,
"9950.95","tagUpper",,"Buy","Buy",,
"9951.1","tagUpper",,"Buy","Buy",,
"9957.8","tagUpper",,"Buy","Buy","Buy",
"9966.85","tagUpper","tagUpper","Buy","Buy",,
"9956.1","tagUpper",,,,"Sell",
"9951.95",,,,,,
"9950.1",,,,,,
"9957.3","tagUpper",,,,"Buy",
"9957.85",,,,,,
"9951.7",,,,,"Sell",
"9947.1",,,,,,"Sell"
"9940.05","tagLower",,,,,
"9947",,,,,,
"9959.65","tagUpper",,,,"Buy","Buy"
"9958.15","tagUpper",,,,,
"9949.45",,,,,"Sell","Sell"
"9950.6",,,,,,
"9956.25",,,,,"Buy","Buy"
"9960.75","tagUpper",,,,,
"9956.75",,,,,,
"9959.15",,,,,"Buy",
"9964","tagUpper",,,,,
"9963.95","tagUpper",,"Buy","Buy",,
"9961.95","tagUpper",,"Buy","Buy",,
"9958.25",,,,,"Sell",
"9954.8",,,,,,"Sell"
"9950.35",,,,,,
"9936.75","tagLower","tagLower",,,,
"9935.95","tagLower","tagLower","Sell","Sell",,
"9941.3","tagLower",,"Sell","Sell",,
"9937.65","tagLower",,"Sell","Sell","Sell",
"9937.25","tagLower",,"Sell","Sell",,
"9929.8","tagLower","tagLower","Sell","Sell","Sell",
"9939.1",,,,,"Buy",
"9939.3",,,,,,
"9938.3",,,,,,
"9942.7",,,,,,
"9947.85",,,,,,
"9962.05","tagUpper",,,,,"Buy"
"9960.4","tagUpper",,,,,
"9963.6","tagUpper",,"Buy","Buy",,
"9963.65","tagUpper",,"Buy","Buy",,
"9973.35","tagUpper","tagUpper","Buy","Buy","Buy",
"9968.2","tagUpper",,"Buy","Buy",,
"9973.45","tagUpper",,"Buy","Buy",,
"9975.85","tagUpper",,"Buy","Buy",,
"9973.05","tagUpper",,"Buy","Buy",,
"9974.4","tagUpper",,"Buy","Buy",,
"9972.95","tagUpper",,"Buy","Buy","Sell",
"9973.85","tagUpper",,"Buy","Buy",,
"9976.1","tagUpper",,"Buy","Buy","Buy",
"9976.55","tagUpper",,"Buy","Buy",,
"9984.45","tagUpper",,"Buy","Buy","Buy",
"9984.15","tagUpper",,"Buy","Buy",,
"9981.7","tagUpper",,"Buy","Buy",,
"9985.9","tagUpper",,"Buy","Buy","Buy",
"9982.65","tagUpper",,"Buy","Buy","Sell",
"9985.9","tagUpper",,"Buy","Buy","Buy",
"9997.65","tagUpper","tagUpper","Buy","Buy","Buy",
"10002.1","tagUpper","tagUpper","Buy","Buy",,
"9994.4","tagUpper",,,,,
"9982.45",,,,,"Sell",
"9963.4","tagLower",,,,,"Sell"
"9954.05","tagLower","tagLower","Sell","Sell",,
"9940.85","tagLower","tagLower","Sell","Sell",,
"9941.05","tagLower","tagLower","Sell","Sell",,
"9930.65","tagLower","tagLower","Sell","Sell",,
"9937.15","tagLower",,"Sell","Sell",,
"9943.6","tagLower",,"Sell","Sell","Buy",
"9940.1","tagLower",,"Sell","Sell",,
"9953.7",,,,,"Buy",
"9956.35",,,,,,
"9960.55",,,,,,
"9956.15",,,,,,
"9960.7",,,,,"Buy",
"9963.05",,,,,,"Buy"
"9970.45",,,,,,
"9972.65",,,,,,
"9958.85",,,,,"Sell","Sell"
"9965.2",,,,,,
"9954.75",,,,,"Sell","Sell"
"9967.7","tagUpper",,,,"Buy","Buy"
"9970.95","tagUpper",,,,,
"9970.75","tagUpper",,"Buy","Buy",,
"9960.55",,,,,"Sell",
"9963.9",,,,,,
"9966.6",,,,,,
"9949.3","tagLower",,,,"Sell","Sell"
"9953.05",,,,,,
"9951.95","tagLower",,,,,
"9940.9","tagLower","tagLower","Sell","Sell",,
"9950.45","tagLower",,,,"Buy",
"9949.6","tagLower",,,,,
"9954.8",,,,,"Buy",
"9952.35",,,,,,
"9954.3",,,,,,
"9955.4",,,,,,
"9960",,,,,,"Buy"
"9950",,,,,"Sell","Sell"
"9945.45","tagLower",,,,,
"9941.5","tagLower",,"Sell","Sell",,
"9938.75","tagLower",,"Sell","Sell",,
"9934.25","tagLower",,"Sell","Sell",,
"9923.25","tagLower","tagLower","Sell","Sell",,
"9919.2","tagLower","tagLower","Sell","Sell",,
"9924.25","tagLower",,"Sell","Sell",,
"9931.6","tagLower",,,,"Buy",
"9936.3",,,,,,
"9929.85","tagLower",,,,,
"9926.25","tagLower",,,,,
"9930.9",,,,,,
"9916","tagLower",,"Sell","Sell","Sell",
"9905.5","tagLower","tagLower","Sell","Sell",,
"9897.5","tagLower","tagLower","Sell","Sell",,
"9901.1","tagLower",,"Sell","Sell",,
"9885.2","tagLower","tagLower","Sell","Sell","Sell",
"9886.3","tagLower",,"Sell","Sell",,
"9889.4","tagLower",,"Sell","Sell",,
"9893.3","tagLower",,"Sell","Sell","Buy",
"9890.25","tagLower",,"Sell","Sell",,
"9885.4","tagLower",,"Sell","Sell","Sell",
"9876","tagLower",,"Sell","Sell",,
"9882.1","tagLower",,"Sell","Sell",,
"9892.25",,,,,"Buy",
"9896.4",,,,,,
"9888.05",,,,,,
"9888.9",,,,,,
"9890.1",,,,,,
"9894.85",,,,,"Buy",
"9894.85",,,,,,
"9894.85",,,,,,
"9894.85",,,,,,
"9894.85",,,,,,
"9894.85",,,,,,
"9894.85",,,"Buy",,,
"9894.85",,,"Buy",,,
"9873.9","tagLower","tagLower",,,"Sell","Sell"
"9867.9","tagLower","tagLower",,,,
"9878.75","tagLower",,,,,
"9888.15",,,,,"Buy","Buy"
"9881.3",,,,,,"Sell"
"9885",,,,,,
"9885.95",,,,,,
"9886.55",,,,,,
"9906.15","tagUpper","tagUpper",,,"Buy","Buy"
