date,time,price,type,strikePrice
24-Jun-2020,09:53,10529.65,NIFTY,
24-Jun-2020,09:53,55.5,CALL,10550
24-Jun-2020,09:53,73.85,PUT,10500
24-Jun-2020,09:54,10531.95,NIFTY,
24-Jun-2020,09:54,55.95,CALL,10550
24-Jun-2020,09:54,72.1,PUT,10500
24-Jun-2020,09:55,10532.45,NIFTY,
24-Jun-2020,09:55,55.85,CALL,10550
24-Jun-2020,09:55,72.65,PUT,10500
24-Jun-2020,09:56,10525.15,NIFTY,
24-Jun-2020,09:56,53.3,CALL,10550
24-Jun-2020,09:56,74.75,PUT,10500
24-Jun-2020,09:57,10528.25,NIFTY,
24-Jun-2020,09:57,54,CALL,10550
24-Jun-2020,09:57,73.75,PUT,10500
24-Jun-2020,09:58,10523.65,NIFTY,
24-Jun-2020,09:58,52.5,CALL,10550
24-Jun-2020,09:58,76,PUT,10500
24-Jun-2020,09:59,10526.8,NIFTY,
24-Jun-2020,09:59,53.65,CALL,10550
24-Jun-2020,09:59,74,PUT,10500
24-Jun-2020,10:00,54.35,CALL,10550
24-Jun-2020,10:00,73.15,PUT,10500
24-Jun-2020,10:00,10526.05,NIFTY,
24-Jun-2020,10:01,10522.25,NIFTY,
24-Jun-2020,10:01,53.95,CALL,10550
24-Jun-2020,10:01,75.6,PUT,10500
24-Jun-2020,10:02,10526.8,NIFTY,
24-Jun-2020,10:02,54.05,CALL,10550
24-Jun-2020,10:02,72.45,PUT,10500
24-Jun-2020,10:03,10535.1,NIFTY,
24-Jun-2020,10:03,55.75,CALL,10550
24-Jun-2020,10:03,71.1,PUT,10500
24-Jun-2020,10:04,10533.85,NIFTY,
24-Jun-2020,10:04,55.7,CALL,10550
24-Jun-2020,10:04,71,PUT,10500
24-Jun-2020,10:05,10530.15,NIFTY,
24-Jun-2020,10:05,54.9,CALL,10550
24-Jun-2020,10:05,73.15,PUT,10500
24-Jun-2020,10:06,10534.85,NIFTY,
24-Jun-2020,10:06,55.6,CALL,10550
24-Jun-2020,10:06,70.2,PUT,10500
24-Jun-2020,10:07,10534.75,NIFTY,
24-Jun-2020,10:07,55.9,CALL,10550
24-Jun-2020,10:07,70.5,PUT,10500
24-Jun-2020,10:08,10533.9,NIFTY,
24-Jun-2020,10:08,55.9,CALL,10550
24-Jun-2020,10:08,69.5,PUT,10500
24-Jun-2020,10:09,10532.95,NIFTY,
24-Jun-2020,10:09,69.85,PUT,10500
24-Jun-2020,10:09,55.55,CALL,10550
24-Jun-2020,10:10,10535.65,NIFTY,
24-Jun-2020,10:10,69.1,PUT,10500
24-Jun-2020,10:10,55.8,CALL,10550
24-Jun-2020,10:11,10532.5,NIFTY,
24-Jun-2020,10:11,55.65,CALL,10550
24-Jun-2020,10:11,69.65,PUT,10500
24-Jun-2020,10:12,10540.2,NIFTY,
24-Jun-2020,10:12,58,CALL,10550
24-Jun-2020,10:12,65.65,PUT,10500
24-Jun-2020,10:13,10543.75,NIFTY,
24-Jun-2020,10:13,63.4,CALL,10550
24-Jun-2020,10:13,62.9,PUT,10500
24-Jun-2020,10:14,10542.6,NIFTY,
24-Jun-2020,10:14,62.95,CALL,10550
24-Jun-2020,10:14,62.8,PUT,10500
24-Jun-2020,10:15,10544.6,NIFTY,
24-Jun-2020,10:15,62.9,PUT,10500
24-Jun-2020,10:15,63,CALL,10550
24-Jun-2020,10:16,10546.65,NIFTY,
24-Jun-2020,10:16,64.8,CALL,10550
24-Jun-2020,10:16,61.9,PUT,10500
24-Jun-2020,10:17,10550.55,NIFTY,
24-Jun-2020,10:17,66.8,CALL,10550
24-Jun-2020,10:17,60.55,PUT,10500
24-Jun-2020,10:18,10550.95,NIFTY,
24-Jun-2020,10:18,66.7,CALL,10550
24-Jun-2020,10:18,60.75,PUT,10500
24-Jun-2020,10:19,10548.1,NIFTY,
