date,time,type," strikePrice",price,sma5,sma20,bb1sd,bb2sd,stochastic,combination
24-Jun-2020,09:53,NIFTY,,10529.65,,,,,,
24-Jun-2020,09:53,CALL,,55.5,,,,,,
24-Jun-2020,09:53,PUT,,73.85,,,,,,
24-Jun-2020,09:54,NIFTY,,10531.95,,,,,,
24-Jun-2020,09:54,CALL,,55.95,,,,,,
24-Jun-2020,09:54,PUT,,72.1,,,,,,
24-Jun-2020,09:55,NIFTY,,10532.45,,,,,,
24-Jun-2020,09:55,CALL,,55.85,,,,,,
24-Jun-2020,09:55,PUT,,72.65,,,,,,
24-Jun-2020,09:56,NIFTY,,10525.15,,,,,,
24-Jun-2020,09:56,CALL,,53.3,,,,,,
24-Jun-2020,09:56,PUT,,74.75,,,,,,
24-Jun-2020,09:57,NIFTY,,10528.25,,,,,,
24-Jun-2020,09:57,CALL,,54,,,,,,
24-Jun-2020,09:57,PUT,,73.75,,,,,,
24-Jun-2020,09:58,NIFTY,,10523.65,Sell,,,,,
24-Jun-2020,09:58,CALL,,52.5,,,,,,
24-Jun-2020,09:58,PUT,,76,Buy,,,,,
24-Jun-2020,09:59,NIFTY,,10526.8,,,,,,
24-Jun-2020,09:59,CALL,,53.65,,,,,,
24-Jun-2020,09:59,PUT,,74,,,,,,
24-Jun-2020,10:00,CALL,,54.35,Buy,,,,,
24-Jun-2020,10:00,PUT,,73.15,,,,,,
24-Jun-2020,10:00,NIFTY,,10526.05,,,,,,
24-Jun-2020,10:01,NIFTY,,10522.25,Sell,,,,,
24-Jun-2020,10:01,CALL,,53.95,Sell,,,,,
24-Jun-2020,10:01,PUT,,75.6,Buy,,,,,
24-Jun-2020,10:02,NIFTY,,10526.8,Buy,,,,,
24-Jun-2020,10:02,CALL,,54.05,Buy,,,,,
24-Jun-2020,10:02,PUT,,72.45,Sell,,,,,
24-Jun-2020,10:03,NIFTY,,10535.1,Buy,,,,,
24-Jun-2020,10:03,CALL,,55.75,,,,,,
24-Jun-2020,10:03,PUT,,71.1,,,,,,
24-Jun-2020,10:04,NIFTY,,10533.85,,,,,,
24-Jun-2020,10:04,CALL,,55.7,,,,,,
24-Jun-2020,10:04,PUT,,71,,,,,,
24-Jun-2020,10:05,NIFTY,,10530.15,,,,,,
24-Jun-2020,10:05,CALL,,54.9,Sell,,,,,
24-Jun-2020,10:05,PUT,,73.15,Buy,,,,,
24-Jun-2020,10:06,NIFTY,,10534.85,Buy,,,,,
24-Jun-2020,10:06,CALL,,55.6,Buy,,,,,
24-Jun-2020,10:06,PUT,,70.2,Sell,,,,,
24-Jun-2020,10:07,NIFTY,,10534.75,,,,,,
24-Jun-2020,10:07,CALL,,55.9,,,,,,
24-Jun-2020,10:07,PUT,,70.5,,,,,,
24-Jun-2020,10:08,NIFTY,,10533.9,Sell,,,,,
24-Jun-2020,10:08,CALL,,55.9,,,,,,
24-Jun-2020,10:08,PUT,,69.5,,,,,,
24-Jun-2020,10:09,NIFTY,,10532.95,Sell,,,,,
24-Jun-2020,10:09,PUT,,69.85,,,,,,
24-Jun-2020,10:09,CALL,,55.55,,,,,,
24-Jun-2020,10:10,NIFTY,,10535.65,Buy,,,,,
24-Jun-2020,10:10,PUT,,69.1,,,,,,
24-Jun-2020,10:10,CALL,,55.8,,,,,,
24-Jun-2020,10:11,NIFTY,,10532.5,Sell,,,,,
24-Jun-2020,10:11,CALL,,55.65,,,,,,
24-Jun-2020,10:11,PUT,,69.65,,,,,,
