sampleCount, change, profit, count, value, avg
"10","5","10","54","79","1"
"10","5","11","54","71","1"
"10","5","12","44","92","2"
"10","5","13","38","104","2"
"10","5","14","36","110","3"
"10","5","15","30","92","3"
"10","5","16","28","84","3"
"10","5","17","28","92","3"
"10","5","18","28","109","3"
"10","5","19","28","104","3"
"10","5","20","28","100","3"
"10","5","21","26","129","4"
"10","5","22","22","145","6"
"10","5","23","22","139","6"
"10","5","24","22","139","6"
"10","5","25","18","116","6"
"10","5","26","18","114","6"
"10","5","27","18","120","6"
"10","5","28","14","130","9"
"10","5","29","14","135","9"
"10","5","30","16","140","8"
"10","5","31","14","132","9"
"10","5","32","16","100","6"
"10","5","33","16","94","5"
"10","5","34","16","95","5"
"10","5","35","14","98","7"
"10","5","36","16","115","7"
"10","5","37","14","114","8"
"10","5","38","14","109","7"
"10","5","39","14","119","8"
"10","5","40","14","111","7"
"10","10","10","46","72","1"
"10","10","11","40","67","1"
"10","10","12","36","103","2"
"10","10","13","34","83","2"
"10","10","14","30","122","4"
"10","10","15","28","98","3"
"10","10","16","26","97","3"
"10","10","17","26","68","2"
"10","10","18","26","85","3"
"10","10","19","26","82","3"
"10","10","20","26","71","2"
"10","10","21","24","92","3"
"10","10","22","20","123","6"
"10","10","23","20","108","5"
"10","10","24","20","110","5"
"10","10","25","18","113","6"
"10","10","26","18","111","6"
"10","10","27","18","110","6"
"10","10","28","18","113","6"
"10","10","29","14","141","10"
"10","10","30","16","140","8"
"10","10","31","14","128","9"
"10","10","32","14","128","9"
"10","10","33","16","97","6"
"10","10","34","16","98","6"
"10","10","35","14","97","6"
"10","10","36","16","111","6"
"10","10","37","12","153","12"
"10","10","38","12","153","12"
"10","10","39","12","153","12"
"10","10","40","12","156","13"
"10","15","10","32","47","1"
"10","15","11","32","36","1"
"10","15","12","28","56","2"
"10","15","13","28","31","1"
"10","15","14","28","26","0"
"10","15","15","28","25","0"
"10","15","16","26","19","0"
"10","15","17","24","23","0"
"10","15","18","24","56","2"
"10","15","19","24","49","2"
"10","15","20","24","54","2"
"10","15","21","22","77","3"
"10","15","22","18","99","5"
"10","15","23","18","88","4"
"10","15","24","18","88","4"
"10","15","25","16","91","5"
"10","15","26","16","83","5"
"10","15","27","16","81","5"
"10","15","28","14","118","8"
"10","15","29","14","118","8"
"10","15","30","14","119","8"
"10","15","31","14","105","7"
"10","15","32","12","82","6"
"10","15","33","12","97","8"
"10","15","34","12","97","8"
"10","15","35","10","97","9"
"10","15","36","8","112","14"
"10","15","37","8","103","12"
