date,time,strategy,action,symbol,strikePrice,price
24-Jun-2020,09:58,sma5,Sell,NIFTY,,10523.65
24-Jun-2020,09:58,sma5,Buy,PUT,10500,76
24-Jun-2020,10:00,sma5,Buy,CALL,10550,54.35
24-Jun-2020,10:01,sma5,Sell,NIFTY,,10522.25
24-Jun-2020,10:01,sma5,Buy,PUT,10500,75.6
24-Jun-2020,10:01,sma5,Sell,CALL,10550,53.95
24-Jun-2020,10:02,sma5,Buy,NIFTY,,10526.8
24-Jun-2020,10:02,sma5,Buy,CALL,10550,54.05
24-Jun-2020,10:02,sma5,Sell,PUT,10500,72.45
24-Jun-2020,10:03,sma5,Buy,NIFTY,,10535.1
24-Jun-2020,10:05,sma5,Sell,CALL,10550,54.9
24-Jun-2020,10:05,sma5,Buy,PUT,10500,73.15
24-Jun-2020,10:06,sma5,Buy,NIFTY,,10534.85
24-Jun-2020,10:06,sma5,Buy,CALL,10550,55.6
24-Jun-2020,10:06,sma5,Sell,PUT,10500,70.2
24-Jun-2020,10:08,sma5,Sell,NIFTY,,10533.9
24-Jun-2020,10:09,sma5,Sell,NIFTY,,10532.95
24-Jun-2020,10:10,sma5,Buy,NIFTY,,10535.65
24-Jun-2020,10:11,sma5,Sell,NIFTY,,10532.5
24-Jun-2020,10:12,sma5,Buy,NIFTY,,10540.2
24-Jun-2020,10:12,bb1sd,Buy,NIFTY,,10540.2
24-Jun-2020,10:12,bb2sd,Buy,NIFTY,,10540.2
24-Jun-2020,10:12,sma5,Buy,CALL,10550,58
24-Jun-2020,10:12,bb1sd,Buy,CALL,10550,58
24-Jun-2020,10:12,bb2sd,Buy,CALL,10550,58
24-Jun-2020,10:12,sma5,Sell,PUT,10500,65.65
24-Jun-2020,10:12,bb1sd,Sell,PUT,10500,65.65
24-Jun-2020,10:12,bb2sd,Sell,PUT,10500,65.65
24-Jun-2020,10:13,bb1sd,Buy,NIFTY,,10543.75
24-Jun-2020,10:13,bb2sd,Buy,NIFTY,,10543.75
24-Jun-2020,10:13,bb1sd,Buy,CALL,10550,63.4
24-Jun-2020,10:13,bb2sd,Buy,CALL,10550,63.4
24-Jun-2020,10:13,bb1sd,Sell,PUT,10500,62.9
24-Jun-2020,10:13,bb2sd,Sell,PUT,10500,62.9
24-Jun-2020,10:14,bb1sd,Buy,NIFTY,,10542.6
24-Jun-2020,10:14,bb2sd,Buy,CALL,10550,62.95
24-Jun-2020,10:14,bb2sd,Sell,PUT,10500,62.8
24-Jun-2020,10:14,bb1sd,Sell,PUT,10500,62.8
24-Jun-2020,10:14,bb1sd,Buy,CALL,10550,62.95
24-Jun-2020,10:15,bb1sd,Buy,NIFTY,,10544.6
24-Jun-2020,10:15,bb1sd,Buy,CALL,10550,63
24-Jun-2020,10:15,bb2sd,Buy,CALL,10550,63
24-Jun-2020,10:15,bb1sd,Sell,PUT,10500,62.9
24-Jun-2020,10:16,bb1sd,Buy,NIFTY,,10546.65
24-Jun-2020,10:16,bb1sd,Buy,CALL,10550,64.8
24-Jun-2020,10:16,bb2sd,Buy,CALL,10550,64.8
24-Jun-2020,10:16,bb1sd,Sell,PUT,10500,61.9
24-Jun-2020,10:17,bb1sd,Buy,NIFTY,,10550.55
24-Jun-2020,10:17,bb2sd,Buy,NIFTY,,10550.55
24-Jun-2020,10:17,bb1sd,Buy,CALL,10550,66.8
24-Jun-2020,10:17,bb2sd,Buy,CALL,10550,66.8
24-Jun-2020,10:17,bb1sd,Sell,PUT,10500,60.55
24-Jun-2020,10:18,bb1sd,Buy,NIFTY,,10550.95
24-Jun-2020,10:18,bb1sd,Buy,CALL,10550,66.7
24-Jun-2020,10:18,bb1sd,Sell,PUT,10500,60.75
24-Jun-2020,10:19,bb1sd,Buy,CALL,10550,65.2
24-Jun-2020,10:19,bb1sd,Buy,NIFTY,,10548.1
24-Jun-2020,10:19,bb1sd,Sell,PUT,10500,61.7
24-Jun-2020,10:20,bb1sd,Buy,NIFTY,,10548.6
24-Jun-2020,10:20,bb1sd,Buy,CALL,10550,65.5
24-Jun-2020,10:20,bb1sd,Sell,PUT,10500,61.8
24-Jun-2020,10:21,bb1sd,Buy,CALL,10550,64.2
24-Jun-2020,10:21,sma5,Buy,PUT,10500,62.8
24-Jun-2020,10:21,sma5,Sell,NIFTY,,10544.2
24-Jun-2020,10:24,sma5,Buy,NIFTY,,10548.15
24-Jun-2020,10:24,bb1sd,Buy,NIFTY,,10548.15
24-Jun-2020,10:24,sma5,Buy,CALL,10550,65.3
24-Jun-2020,10:25,sma5,Buy,PUT,10500,63.4
24-Jun-2020,10:26,sma20,Sell,NIFTY,,10542.6
24-Jun-2020,10:26,sma5,Sell,CALL,10550,63.6
24-Jun-2020,10:26,sma20,Buy,PUT,10500,64.05
24-Jun-2020,10:26,sma5,Sell,NIFTY,,10542.6
24-Jun-2020,10:27,sma20,Sell,CALL,10550,60.8
24-Jun-2020,10:31,bb1sd,Sell,NIFTY,,10539.8
24-Jun-2020,10:31,bb1sd,Buy,PUT,10500,65
24-Jun-2020,10:32,sma5,Buy,NIFTY,,10542.3
24-Jun-2020,10:32,sma5,Buy,CALL,10550,62.1
24-Jun-2020,10:32,bb1sd,Buy,PUT,10500,64.15
24-Jun-2020,10:33,sma5,Sell,CALL,10550,61.3
24-Jun-2020,10:33,bb1sd,Sell,CALL,10550,61.3
24-Jun-2020,10:33,sma5,Buy,PUT,10500,65.4
24-Jun-2020,10:33,bb1sd,Buy,PUT,10500,65.4
24-Jun-2020,10:33,stochastic,Buy,PUT,10500,65.4
24-Jun-2020,10:33,combination,Buy,PUT,10500,65.4
24-Jun-2020,10:34,sma5,Sell,NIFTY,,10538.65
24-Jun-2020,10:34,bb1sd,Sell,NIFTY,,10538.65
24-Jun-2020,10:34,sma5,Sell,CALL,10550,60
24-Jun-2020,10:34,bb1sd,Sell,CALL,10550,60
24-Jun-2020,10:34,bb2sd,Sell,CALL,10550,60
24-Jun-2020,10:34,stochastic,Sell,CALL,10550,60
24-Jun-2020,10:34,combination,Sell,CALL,10550,60
24-Jun-2020,10:34,bb1sd,Buy,PUT,10500,66.3
24-Jun-2020,10:34,bb2sd,Buy,PUT,10500,66.3
24-Jun-2020,10:34,stochastic,Buy,PUT,10500,66.3
24-Jun-2020,10:34,combination,Buy,PUT,10500,66.3
24-Jun-2020,10:35,bb1sd,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,stochastic,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,combination,Sell,NIFTY,,10536.95
24-Jun-2020,10:35,bb1sd,Sell,CALL,10550,59.2
24-Jun-2020,10:35,stochastic,Sell,CALL,10550,59.2
24-Jun-2020,10:35,combination,Sell,CALL,10550,59.2
24-Jun-2020,10:35,bb1sd,Buy,PUT,10500,67
24-Jun-2020,10:35,bb2sd,Buy,PUT,10500,67
24-Jun-2020,10:35,stochastic,Buy,PUT,10500,67
24-Jun-2020,10:35,combination,Buy,PUT,10500,67
24-Jun-2020,10:36,bb1sd,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,bb2sd,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,stochastic,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,combination,Sell,NIFTY,,10531.65
24-Jun-2020,10:36,bb1sd,Sell,CALL,10550,56.45
24-Jun-2020,10:36,bb2sd,Sell,CALL,10550,56.45
24-Jun-2020,10:36,stochastic,Sell,CALL,10550,56.45
24-Jun-2020,10:36,combination,Sell,CALL,10550,56.45
24-Jun-2020,10:36,bb1sd,Buy,PUT,10500,68.3
24-Jun-2020,10:36,bb2sd,Buy,PUT,10500,68.3
24-Jun-2020,10:36,stochastic,Buy,PUT,10500,68.3
24-Jun-2020,10:36,combination,Buy,PUT,10500,68.3
24-Jun-2020,10:37,bb1sd,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,stochastic,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,combination,Sell,NIFTY,,10522.75
24-Jun-2020,10:37,bb1sd,Sell,CALL,10550,53.5
24-Jun-2020,10:37,bb2sd,Sell,CALL,10550,53.5
24-Jun-2020,10:37,stochastic,Sell,CALL,10550,53.5
24-Jun-2020,10:37,combination,Sell,CALL,10550,53.5
24-Jun-2020,10:37,bb1sd,Buy,PUT,10500,71.15
24-Jun-2020,10:37,bb2sd,Buy,PUT,10500,71.15
24-Jun-2020,10:37,stochastic,Buy,PUT,10500,71.15
24-Jun-2020,10:37,combination,Buy,PUT,10500,71.15
24-Jun-2020,10:37,bb2sd,Sell,NIFTY,,10522.75
