strategy, symbol, strikePrice, action, price, date, time
"sma5","PUT","10500","Buy","76","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","72.45","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","73.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","70.2","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Buy","65.65","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Buy","65.65","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Buy","65.65","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","62.8","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","64.05","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Sell","65","25-Jun-2020","21:22"
"stochastic","PUT","10500","Buy","65.4","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Sell","66.3","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Sell","71.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","81.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","87.75","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","103.85","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","103.1","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","94","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","94","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","95.1","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","103.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","97.35","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","97.35","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","99","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","98.45","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","100.55","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","99.7","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","102","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","111.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","113.25","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","113.7","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","109.2","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","109.55","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","105.05","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Buy","105.05","25-Jun-2020","21:22"
"stochastic","PUT","10500","Sell","105.45","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","108.6","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","114.6","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","109.8","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","109.8","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","108.2","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","105.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","103.35","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Buy","94.5","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Buy","94.5","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","93.25","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","91.95","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","73.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","70.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","70.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","68","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","66.1","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","63.4","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","66.9","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","65.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","67.5","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","67.5","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","66.4","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","66.4","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","67.3","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","67.3","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Sell","70","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Sell","72.55","25-Jun-2020","21:22"
"stochastic","PUT","10500","Buy","72.55","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","72.75","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","77.55","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Sell","94.9","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","115.65","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","122.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","115.8","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","120","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","113.9","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","121.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","125.3","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","137.5","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","144.15","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","153.9","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","152.6","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","162","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","147.2","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","147.2","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","153","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","153","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","152.8","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","151.2","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","156.6","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","156.6","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","154.45","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","154.45","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Buy","126.2","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Buy","126.2","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Buy","126.2","25-Jun-2020","21:22"
"stochastic","PUT","10500","Sell","118.85","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","131.6","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","145","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","142.65","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","150","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","141.65","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","141.65","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","133.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","129.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","134.85","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","142.3","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","135.9","25-Jun-2020","21:22"
"sma20","PUT","10500","Sell","135.9","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","139.75","25-Jun-2020","21:22"
"sma20","PUT","10500","Buy","139.75","25-Jun-2020","21:22"
"bb1sd","PUT","10500","Sell","143.55","25-Jun-2020","21:22"
"bb2sd","PUT","10500","Sell","160.15","25-Jun-2020","21:22"
"bb3sd","PUT","10500","Sell","160.15","25-Jun-2020","21:22"
"stochastic","PUT","10500","Buy","167.65","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","170.65","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","176.95","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","175.3","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","181.35","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","200.3","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","197.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","190.95","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","204.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","193.6","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","201.05","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","197","25-Jun-2020","21:22"
"sma5","PUT","10500","Buy","204.1","25-Jun-2020","21:22"
"sma5","PUT","10500","Sell","219","25-Jun-2020","21:22"
