"strategy","type","price"
"SMA5","Sell",9923.2
"SMA5","Buy",9922.4
"SMA5","Sell",9908.45
"SMA5","Buy",9914.35
"SMA5","Sell",9922.55
"SMA5","Sell",9919.85
"SMA5","Buy",9943.85
"BB1SD","Buy",9943.85
"BB2SD","Buy",9943.85
"SMA5","Sell",9936.75
"SMA5","Sell",9924.45
"SMA20","Sell",9924.45
"SMA5","Buy",9938.95
"SMA20","Buy",9938.95
"SMA5","Sell",9933.3
"SMA5","Sell",9927.55
"SMA20","Sell",9927.55
"SMA5","Sell",9914.6
"BB1SD","Sell",9914.6
"Stochastic","Sell",9914.6
"Combination","Sell",9914.6
"BB1SD","Sell",9918.6
"Stochastic","Sell",9918.6
"Combination","Sell",9918.6
"SMA5","Sell",9901.1
"BB1SD","Sell",9901.1
"BB2SD","Sell",9901.1
"Stochastic","Sell",9901.1
"Combination","Sell",9901.1
"BB1SD","Sell",9896.1
"BB2SD","Sell",9896.1
"Stochastic","Sell",9896.1
"Combination","Sell",9896.1
"BB1SD","Sell",9892.6
"BB2SD","Sell",9892.6
"Stochastic","Sell",9892.6
"Combination","Sell",9892.6
"BB1SD","Sell",9887.35
"BB2SD","Sell",9887.35
"Stochastic","Sell",9887.35
"Combination","Sell",9887.35
"BB1SD","Sell",9887.15
"Stochastic","Sell",9887.15
"Combination","Sell",9887.15
"BB1SD","Sell",9882.45
"Stochastic","Sell",9882.45
"Combination","Sell",9882.45
"BB1SD","Sell",9886.4
"Stochastic","Sell",9886.4
"Combination","Sell",9886.4
"SMA5","Buy",9894.55
"SMA5","Sell",9882.5
"BB1SD","Sell",9882.5
"Stochastic","Sell",9882.5
"Combination","Sell",9882.5
"SMA5","Buy",9900.35
"SMA20","Buy",9911.1
"SMA5","Sell",9897.25
"SMA20","Sell",9897.25
"BB1SD","Sell",9885.05
"BB1SD","Sell",9883.8
"Stochastic","Sell",9883.8
"Combination","Sell",9883.8
"Stochastic","Sell",9888.2
"SMA5","Sell",9887.65
"Stochastic","Sell",9887.65
"SMA5","Sell",9877.2
"BB1SD","Sell",9877.2
"Stochastic","Sell",9877.2
"Combination","Sell",9877.2
"BB1SD","Sell",9870.15
"Stochastic","Sell",9870.15
"Combination","Sell",9870.15
"BB1SD","Sell",9867.75
"BB2SD","Sell",9867.75
"Stochastic","Sell",9867.75
"Combination","Sell",9867.75
"SMA5","Buy",9877
"BB1SD","Sell",9877
"BB1SD","Sell",9875.8
"Stochastic","Sell",9875.8
"Combination","Sell",9875.8
"BB1SD","Sell",9873.95
"Stochastic","Sell",9873.95
"Combination","Sell",9873.95
"SMA5","Sell",9872.1
"BB1SD","Sell",9872.1
"Stochastic","Sell",9872.1
"Combination","Sell",9872.1
"SMA5","Buy",9882.15
"SMA20","Buy",9884.55
"SMA5","Sell",9878.75
"SMA20","Sell",9878.75
"BB1SD","Sell",9871.85
"BB1SD","Sell",9868.4
"Stochastic","Sell",9868.4
"Combination","Sell",9868.4
"SMA5","Buy",9883.15
"SMA20","Buy",9883.15
"SMA5","Sell",9873.35
"SMA20","Sell",9873.35
"BB1SD","Sell",9870.35
"SMA5","Buy",9881.6
"SMA20","Buy",9881.6
"BB1SD","Buy",9883.4
"BB2SD","Buy",9890.5
"Stochastic","Buy",9890.5
"Combination","Buy",9890.5
"SMA5","Sell",9882.8
"SMA5","Buy",9885.5
"SMA5","Sell",9892.95
"SMA5","Buy",9904.35
"SMA5","Sell",9901.05
"SMA5","Sell",9899.3
"SMA5","Buy",9906.35
"SMA5","Sell",9914.1
"SMA5","Sell",9905
"SMA5","Sell",9886.35
"BB1SD","Sell",9886.35
"BB2SD","Sell",9886.35
"SMA20","Sell",9886.35
"BB1SD","Sell",9876.25
"BB2SD","Sell",9876.25
"BB1SD","Sell",9888.15
"BB1SD","Sell",9884.4
"Stochastic","Sell",9884.4
"Combination","Sell",9884.4
"SMA5","Buy",9897.25
"SMA20","Buy",9909.1
"SMA5","Sell",9897
"SMA20","Sell",9897
"SMA5","Buy",9905.25
"SMA20","Buy",9905.25
"BB1SD","Buy",9932.5
"BB2SD","Buy",9932.5
"Stochastic","Buy",9932.5
"Combination","Buy",9932.5
"SMA5","Sell",9923.35
"SMA5","Sell",9925.65
"SMA5","Sell",9918.15
"SMA20","Sell",9918.15
"SMA5","Buy",9936.65
"SMA20","Buy",9936.65
"SMA5","Sell",9956.1
"SMA5","Buy",9957.3
"SMA5","Sell",9951.7
"SMA20","Sell",9947.1
"BB1SD","Sell",9940.05
"SMA5","Buy",9959.65
"BB1SD","Buy",9959.65
"SMA20","Buy",9959.65
"SMA5","Sell",9949.45
"SMA20","Sell",9949.45
"SMA5","Buy",9956.25
"SMA20","Buy",9956.25
"SMA5","Sell",9958.25
"SMA20","Sell",9954.8
"BB1SD","Sell",9936.75
"BB2SD","Sell",9936.75
"BB1SD","Sell",9935.95
"BB2SD","Sell",9935.95
"Stochastic","Sell",9935.95
"Combination","Sell",9935.95
"BB1SD","Sell",9941.3
"Stochastic","Sell",9941.3
"Combination","Sell",9941.3
"SMA5","Sell",9937.65
"BB1SD","Sell",9937.65
"Stochastic","Sell",9937.65
"Combination","Sell",9937.65
"BB1SD","Sell",9937.25
"Stochastic","Sell",9937.25
"Combination","Sell",9937.25
"SMA5","Sell",9929.8
"BB1SD","Sell",9929.8
"BB2SD","Sell",9929.8
"Stochastic","Sell",9929.8
"Combination","Sell",9929.8
"SMA5","Buy",9939.1
"BB1SD","Buy",9962.05
"SMA20","Buy",9962.05
"Stochastic","Buy",9963.6
"Combination","Buy",9963.6
"BB2SD","Buy",9973.35
"SMA5","Sell",9972.95
"SMA5","Buy",9976.1
"SMA5","Sell",9982.65
"SMA5","Buy",9985.9
"SMA5","Sell",9982.45
"BB1SD","Sell",9963.4
"SMA20","Sell",9963.4
"BB1SD","Sell",9954.05
"BB2SD","Sell",9954.05
"Stochastic","Sell",9954.05
"Combination","Sell",9954.05
"BB1SD","Sell",9940.85
"BB2SD","Sell",9940.85
"Stochastic","Sell",9940.85
"Combination","Sell",9940.85
"BB1SD","Sell",9941.05
"BB2SD","Sell",9941.05
"Stochastic","Sell",9941.05
"Combination","Sell",9941.05
"BB1SD","Sell",9930.65
"BB2SD","Sell",9930.65
"Stochastic","Sell",9930.65
"Combination","Sell",9930.65
"BB1SD","Sell",9937.15
"Stochastic","Sell",9937.15
"Combination","Sell",9937.15
"SMA5","Buy",9943.6
"BB1SD","Sell",9943.6
"Stochastic","Sell",9943.6
"Combination","Sell",9943.6
"BB1SD","Sell",9940.1
"Stochastic","Sell",9940.1
"Combination","Sell",9940.1
"SMA20","Buy",9963.05
"SMA5","Sell",9958.85
"SMA20","Sell",9958.85
"SMA5","Sell",9954.75
"SMA20","Sell",9954.75
"SMA5","Buy",9967.7
"BB1SD","Buy",9967.7
"SMA20","Buy",9967.7
"Stochastic","Buy",9970.75
"Combination","Buy",9970.75
"SMA5","Sell",9960.55
"SMA5","Sell",9949.3
"BB1SD","Sell",9949.3
"SMA20","Sell",9949.3
"BB1SD","Sell",9951.95
"BB1SD","Sell",9940.9
"BB2SD","Sell",9940.9
"Stochastic","Sell",9940.9
"Combination","Sell",9940.9
"SMA5","Buy",9950.45
"BB1SD","Sell",9950.45
"BB1SD","Sell",9949.6
"SMA20","Buy",9960
"SMA5","Sell",9950
"SMA20","Sell",9950
"BB1SD","Sell",9945.45
"BB1SD","Sell",9941.5
"Stochastic","Sell",9941.5
"Combination","Sell",9941.5
"BB1SD","Sell",9938.75
"Stochastic","Sell",9938.75
"Combination","Sell",9938.75
"BB1SD","Sell",9934.25
"Stochastic","Sell",9934.25
"Combination","Sell",9934.25
"BB1SD","Sell",9923.25
"BB2SD","Sell",9923.25
"Stochastic","Sell",9923.25
"Combination","Sell",9923.25
"BB1SD","Sell",9919.2
"BB2SD","Sell",9919.2
"Stochastic","Sell",9919.2
"Combination","Sell",9919.2
"BB1SD","Sell",9924.25
"Stochastic","Sell",9924.25
"Combination","Sell",9924.25
"SMA5","Buy",9931.6
"BB1SD","Sell",9931.6
"BB1SD","Sell",9929.85
"BB1SD","Sell",9926.25
"SMA5","Sell",9916
"BB1SD","Sell",9916
"Stochastic","Sell",9916
"Combination","Sell",9916
"BB1SD","Sell",9905.5
"BB2SD","Sell",9905.5
"Stochastic","Sell",9905.5
"Combination","Sell",9905.5
"BB1SD","Sell",9897.5
"BB2SD","Sell",9897.5
"Stochastic","Sell",9897.5
"Combination","Sell",9897.5
"BB1SD","Sell",9901.1
"Stochastic","Sell",9901.1
"Combination","Sell",9901.1
"SMA5","Sell",9885.2
"BB1SD","Sell",9885.2
"BB2SD","Sell",9885.2
"Stochastic","Sell",9885.2
"Combination","Sell",9885.2
"BB1SD","Sell",9886.3
"Stochastic","Sell",9886.3
"Combination","Sell",9886.3
"BB1SD","Sell",9889.4
"Stochastic","Sell",9889.4
"Combination","Sell",9889.4
"SMA5","Buy",9893.3
"BB1SD","Sell",9893.3
"Stochastic","Sell",9893.3
"Combination","Sell",9893.3
"BB1SD","Sell",9890.25
"Stochastic","Sell",9890.25
"Combination","Sell",9890.25
"SMA5","Sell",9885.4
"BB1SD","Sell",9885.4
"Stochastic","Sell",9885.4
"Combination","Sell",9885.4
"BB1SD","Sell",9876
"Stochastic","Sell",9876
"Combination","Sell",9876
"BB1SD","Sell",9882.1
"Stochastic","Sell",9882.1
"Combination","Sell",9882.1
"SMA5","Buy",9892.25
"Stochastic","Buy",9894.85
"SMA5","Sell",9873.9
"BB1SD","Sell",9873.9
"BB2SD","Sell",9873.9
"SMA20","Sell",9873.9
"BB1SD","Sell",9867.9
"BB2SD","Sell",9867.9
"BB1SD","Sell",9878.75
"SMA5","Buy",9888.15
"SMA20","Buy",9888.15
"SMA20","Sell",9881.3
"BB1SD","Buy",9906.15
"BB2SD","Buy",9906.15
"SMA20","Buy",9906.15
