instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
14866434,58072,NIFTY26AUGFUT,"NIFTY",0,2026-08-25,0,0.1,65,FUT,NFO-FUT,NFO
17512194,68407,NIFTY26SEPFUT,"NIFTY",0,2026-09-29,0,0.1,65,FUT,NFO-FUT,NFO
12468226,48704,NIFTY26OCTFUT,"NIFTY",0,2026-10-27,0,0.1,65,FUT,NFO-FUT,NFO
14865154,58067,BANKNIFTY26AUGFUT,"BANKNIFTY",0,2026-08-25,0,0.2,30,FUT,NFO-FUT,NFO
17507842,68390,BANKNIFTY26SEPFUT,"BANKNIFTY",0,2026-09-29,0,0.2,30,FUT,NFO-FUT,NFO
12466946,48699,BANKNIFTY26OCTFUT,"BANKNIFTY",0,2026-10-27,0,0.2,30,FUT,NFO-FUT,NFO
14866946,58074,360ONE26AUGFUT,"360ONE",0,2026-08-25,0,0.1,500,FUT,NFO-FUT,NFO
17513730,68413,360ONE26SEPFUT,"360ONE",0,2026-09-29,0,0.1,500,FUT,NFO-FUT,NFO
12468738,48706,360ONE26OCTFUT,"360ONE",0,2026-10-27,0,0.1,500,FUT,NFO-FUT,NFO
14867202,58075,ABB26AUGFUT,"ABB",0,2026-08-25,0,0.5,125,FUT,NFO-FUT,NFO
17513986,68414,ABB26SEPFUT,"ABB",0,2026-09-29,0,0.5,125,FUT,NFO-FUT,NFO
12468994,48707,ABB26OCTFUT,"ABB",0,2026-10-27,0,0.5,125,FUT,NFO-FUT,NFO
14870018,58086,ABCAPITAL26AUGFUT,"ABCAPITAL",0,2026-08-25,0,0.05,3100,FUT,NFO-FUT,NFO
17514242,68415,ABCAPITAL26SEPFUT,"ABCAPITAL",0,2026-09-29,0,0.05,3100,FUT,NFO-FUT,NFO
12469250,48708,ABCAPITAL26OCTFUT,"ABCAPITAL",0,2026-10-27,0,0.05,3100,FUT,NFO-FUT,NFO
14870274,58087,ADANIENSOL26AUGFUT,"ADANIENSOL",0,2026-08-25,0,0.1,675,FUT,NFO-FUT,NFO
17514498,68416,ADANIENSOL26SEPFUT,"ADANIENSOL",0,2026-09-29,0,0.1,675,FUT,NFO-FUT,NFO
12469762,48710,ADANIENSOL26OCTFUT,"ADANIENSOL",0,2026-10-27,0,0.1,675,FUT,NFO-FUT,NFO
14870530,58088,ADANIENT26AUGFUT,"ADANIENT",0,2026-08-25,0,0.1,309,FUT,NFO-FUT,NFO
17514754,68417,ADANIENT26SEPFUT,"ADANIENT",0,2026-09-29,0,0.1,309,FUT,NFO-FUT,NFO
12470018,48711,ADANIENT26OCTFUT,"ADANIENT",0,2026-10-27,0,0.1,309,FUT,NFO-FUT,NFO
14870786,58089,ADANIGREEN26AUGFUT,"ADANIGREEN",0,2026-08-25,0,0.1,600,FUT,NFO-FUT,NFO
17515010,68418,ADANIGREEN26SEPFUT,"ADANIGREEN",0,2026-09-29,0,0.1,600,FUT,NFO-FUT,NFO
12470274,48712,ADANIGREEN26OCTFUT,"ADANIGREEN",0,2026-10-27,0,0.1,600,FUT,NFO-FUT,NFO
14871042,58090,ADANIPORTS26AUGFUT,"ADANIPORTS",0,2026-08-25,0,0.1,475,FUT,NFO-FUT,NFO
17515266,68419,ADANIPORTS26SEPFUT,"ADANIPORTS",0,2026-09-29,0,0.1,475,FUT,NFO-FUT,NFO
12471810,48718,ADANIPORTS26OCTFUT,"ADANIPORTS",0,2026-10-27,0,0.1,475,FUT,NFO-FUT,NFO
14871298,58091,ADANIPOWER26AUGFUT,"ADANIPOWER",0,2026-08-25,0,0.01,3550,FUT,NFO-FUT,NFO
17515522,68420,ADANIPOWER26SEPFUT,"ADANIPOWER",0,2026-09-29,0,0.01,3550,FUT,NFO-FUT,NFO
12472322,48720,ADANIPOWER26OCTFUT,"ADANIPOWER",0,2026-10-27,0,0.01,3550,FUT,NFO-FUT,NFO
14873602,58100,ALKEM26AUGFUT,"ALKEM",0,2026-08-25,0,0.5,125,FUT,NFO-FUT,NFO
17515778,68421,ALKEM26SEPFUT,"ALKEM",0,2026-09-29,0,0.5,125,FUT,NFO-FUT,NFO
12472834,48722,ALKEM26OCTFUT,"ALKEM",0,2026-10-27,0,0.5,125,FUT,NFO-FUT,NFO
14873858,58101,AMBER26AUGFUT,"AMBER",0,2026-08-25,0,0.5,100,FUT,NFO-FUT,NFO
17516034,68422,AMBER26SEPFUT,"AMBER",0,2026-09-29,0,0.5,100,FUT,NFO-FUT,NFO
12473090,48723,AMBER26OCTFUT,"AMBER",0,2026-10-27,0,0.5,100,FUT,NFO-FUT,NFO
14874114,58102,AMBUJACEM26AUGFUT,"AMBUJACEM",0,2026-08-25,0,0.05,1200,FUT,NFO-FUT,NFO
17516290,68423,AMBUJACEM26SEPFUT,"AMBUJACEM",0,2026-09-29,0,0.05,1200,FUT,NFO-FUT,NFO
12473602,48725,AMBUJACEM26OCTFUT,"AMBUJACEM",0,2026-10-27,0,0.05,1200,FUT,NFO-FUT,NFO
14874370,58103,ANGELONE26AUGFUT,"ANGELONE",0,2026-08-25,0,0.05,2500,FUT,NFO-FUT,NFO
17516546,68424,ANGELONE26SEPFUT,"ANGELONE",0,2026-09-29,0,0.05,2500,FUT,NFO-FUT,NFO
12473858,48726,ANGELONE26OCTFUT,"ANGELONE",0,2026-10-27,0,0.05,2500,FUT,NFO-FUT,NFO
14874626,58104,APLAPOLLO26AUGFUT,"APLAPOLLO",0,2026-08-25,0,0.1,350,FUT,NFO-FUT,NFO
17516802,68425,APLAPOLLO26SEPFUT,"APLAPOLLO",0,2026-09-29,0,0.1,350,FUT,NFO-FUT,NFO
12474114,48727,APLAPOLLO26OCTFUT,"APLAPOLLO",0,2026-10-27,0,0.1,350,FUT,NFO-FUT,NFO
14874882,58105,APOLLOHOSP26AUGFUT,"APOLLOHOSP",0,2026-08-25,0,0.5,125,FUT,NFO-FUT,NFO
17517058,68426,APOLLOHOSP26SEPFUT,"APOLLOHOSP",0,2026-09-29,0,0.5,125,FUT,NFO-FUT,NFO
12474882,48730,APOLLOHOSP26OCTFUT,"APOLLOHOSP",0,2026-10-27,0,0.5,125,FUT,NFO-FUT,NFO
14875138,58106,ASHOKLEY26AUGFUT,"ASHOKLEY",0,2026-08-25,0,0.01,5000,FUT,NFO-FUT,NFO
17517314,68427,ASHOKLEY26SEPFUT,"ASHOKLEY",0,2026-09-29,0,0.01,5000,FUT,NFO-FUT,NFO
12475138,48731,ASHOKLEY26OCTFUT,"ASHOKLEY",0,2026-10-27,0,0.01,5000,FUT,NFO-FUT,NFO
14875394,58107,ASIANPAINT26AUGFUT,"ASIANPAINT",0,2026-08-25,0,0.1,250,FUT,NFO-FUT,NFO
17517570,68428,ASIANPAINT26SEPFUT,"ASIANPAINT",0,2026-09-29,0,0.1,250,FUT,NFO-FUT,NFO
12475394,48732,ASIANPAINT26OCTFUT,"ASIANPAINT",0,2026-10-27,0,0.1,250,FUT,NFO-FUT,NFO
14875650,58108,ASTRAL26AUGFUT,"ASTRAL",0,2026-08-25,0,0.1,425,FUT,NFO-FUT,NFO
17517826,68429,ASTRAL26SEPFUT,"ASTRAL",0,2026-09-29,0,0.1,425,FUT,NFO-FUT,NFO
12475650,48733,ASTRAL26OCTFUT,"ASTRAL",0,2026-10-27,0,0.1,425,FUT,NFO-FUT,NFO
14875906,58109,AUBANK26AUGFUT,"AUBANK",0,2026-08-25,0,0.1,1000,FUT,NFO-FUT,NFO
17518594,68432,AUBANK26SEPFUT,"AUBANK",0,2026-09-29,0,0.1,1000,FUT,NFO-FUT,NFO
12475906,48734,AUBANK26OCTFUT,"AUBANK",0,2026-10-27,0,0.1,1000,FUT,NFO-FUT,NFO
14877698,58116,AUROPHARMA26AUGFUT,"AUROPHARMA",0,2026-08-25,0,0.1,550,FUT,NFO-FUT,NFO
17518850,68433,AUROPHARMA26SEPFUT,"AUROPHARMA",0,2026-09-29,0,0.1,550,FUT,NFO-FUT,NFO
12476162,48735,AUROPHARMA26OCTFUT,"AUROPHARMA",0,2026-10-27,0,0.1,550,FUT,NFO-FUT,NFO
14877954,58117,AXISBANK26AUGFUT,"AXISBANK",0,2026-08-25,0,0.1,625,FUT,NFO-FUT,NFO
