ltp,ltt
22898.50,1738042189
22898.35,1738042190
22898.50,1738042190
22898.55,1738042191
22898.45,1738042191
22897.40,1738042192
22897.60,1738042193
22897.65,1738042193
22896.90,1738042194
22896.00,1738042194
22896.45,1738042195
22896.60,1738042195
22896.35,1738042196
22897.20,1738042196
22895.45,1738042197
22897.20,1738042198
22897.95,1738042198
22897.90,1738042199
22897.50,1738042199
22897.15,1738042200
22896.95,1738042200
22899.25,1738042201
22898.50,1738042201
22898.95,1738042202
22899.45,1738042202
22899.10,1738042203
22898.70,1738042203
22898.80,1738042204
22898.50,1738042204
22897.90,1738042205
22898.55,1738042205
22897.30,1738042206
22896.70,1738042206
22896.85,1738042207
22897.50,1738042208
22897.95,1738042208
22896.55,1738042209
22896.90,1738042209
22897.75,1738042210
22897.05,1738042210
22898.15,1738042211
22897.50,1738042211
22897.35,1738042212
22897.10,1738042212
22897.15,1738042213
22896.60,1738042213
22896.80,1738042214
22896.45,1738042214
22897.05,1738042215
22897.00,1738042215
22897.25,1738042216
22897.50,1738042216
22897.45,1738042217
22896.20,1738042217
22895.20,1738042218
22895.60,1738042218
22895.90,1738042219
22896.65,1738042219
22897.10,1738042220
22896.60,1738042220
22896.20,1738042221
22896.85,1738042221
22896.80,1738042222
22895.60,1738042222
22896.65,1738042223
22897.65,1738042223
22897.00,1738042224
22897.90,1738042224
22897.60,1738042225
22895.90,1738042225
22895.35,1738042226
22894.60,1738042226
22895.05,1738042227
22894.50,1738042227
22893.60,1738042228
22892.95,1738042228
22893.90,1738042229
22894.55,1738042229
22893.60,1738042230
22893.90,1738042230
22894.45,1738042231
22894.80,1738042231
22894.75,1738042232
22893.85,1738042232
22893.90,1738042233
22893.10,1738042233
22893.70,1738042234
22895.10,1738042234
22893.95,1738042235
22895.55,1738042235
22894.75,1738042236
22895.40,1738042236
22896.75,1738042237
22897.25,1738042237
22899.30,1738042238
22898.85,1738042238
22899.50,1738042239
22899.90,1738042239
22900.00,1738042240
22900.45,1738042240
22900.90,1738042241
22900.70,1738042241
22901.65,1738042242
22899.70,1738042242
22898.55,1738042243
22899.15,1738042243
22897.90,1738042244
22899.35,1738042244
22898.55,1738042245
22899.65,1738042245
22899.05,1738042246
22898.75,1738042246
22900.35,1738042247
22899.45,1738042247
22900.50,1738042248
22901.45,1738042248
22900.75,1738042249
22899.75,1738042249
22899.30,1738042250
22900.25,1738042250
22900.15,1738042251
22900.20,1738042251
22900.85,1738042252
22899.80,1738042252
22902.05,1738042253
22901.70,1738042253
22902.65,1738042254
22901.40,1738042254
22902.80,1738042255
22901.80,1738042255
22901.55,1738042256
22903.05,1738042256
22902.20,1738042257
22904.35,1738042257
22905.50,1738042258
22908.55,1738042258
22910.55,1738042259
22910.50,1738042259
22909.85,1738042260
22910.85,1738042260
22915.65,1738042261
22917.85,1738042261
22920.35,1738042262
22919.20,1738042262
22918.00,1738042263
22918.45,1738042263
22921.65,1738042264
22922.30,1738042264
22922.60,1738042265
22923.50,1738042265
22925.15,1738042266
22926.50,1738042266
22929.60,1738042267
22931.55,1738042267
22937.35,1738042268
22939.95,1738042268
22938.25,1738042269
22937.75,1738042269
22936.70,1738042270
22939.45,1738042270
22938.45,1738042271
22940.35,1738042271
22937.00,1738042272
22930.80,1738042272
22935.40,1738042273
22936.50,1738042273
22933.65,1738042274
22933.80,1738042274
22931.90,1738042275
22935.25,1738042275
22932.80,1738042276
22935.40,1738042276
22937.05,1738042277
22938.45,1738042277
22936.25,1738042278
22937.85,1738042278
22937.65,1738042279
22938.80,1738042279
22940.30,1738042280
22940.95,1738042280
22942.80,1738042281
22944.40,1738042281
22943.00,1738042282
22945.20,1738042282
22949.90,1738042283
22948.00,1738042283
22949.15,1738042284
22948.80,1738042284
22951.25,1738042285
22950.45,1738042285
22951.70,1738042286
22950.40,1738042286
22951.45,1738042287
22948.05,1738042287
22947.80,1738042288
22947.35,1738042288
22947.95,1738042289
22946.35,1738042289
22947.70,1738042290
22950.10,1738042290
22947.85,1738042291
22950.30,1738042291
22954.90,1738042292
22955.25,1738042292
22960.25,1738042293
22961.00,1738042293
22962.90,1738042294
22962.85,1738042294
22962.95,1738042295
22967.10,1738042295
22966.75,1738042296
22966.55,1738042296
22966.20,1738042297
22969.25,1738042297
22970.95,1738042298
22970.55,1738042298
22969.30,1738042299
22965.85,1738042299
22965.00,1738042300
22966.40,1738042300
22965.70,1738042301
22965.10,1738042301
22964.75,1738042302
22963.95,1738042302
22965.35,1738042303
22966.90,1738042303
22965.05,1738042304
22963.25,1738042304
22963.40,1738042305
22962.95,1738042305
22962.50,1738042306
22961.00,1738042306
22958.90,1738042307
22959.90,1738042307
22958.90,1738042308
22957.85,1738042308
22957.35,1738042309
22957.05,1738042309
22958.65,1738042310
22958.45,1738042310
22959.75,1738042311
22961.70,1738042311
22964.35,1738042312
22965.75,1738042312
22971.10,1738042313
22971.65,1738042313
22968.95,1738042314
22967.60,1738042314
22968.60,1738042315
22969.80,1738042315
22967.30,1738042316
22968.55,1738042316
22967.15,1738042317
22962.35,1738042317
22964.20,1738042318
22964.00,1738042318
22962.25,1738042319
22964.35,1738042319
22963.20,1738042320
22963.60,1738042320
22964.90,1738042321
22966.00,1738042321
22966.65,1738042322
22968.20,1738042322
22970.75,1738042323
22970.70,1738042323
22967.60,1738042324
22968.70,1738042324
22967.85,1738042325
22968.40,1738042325
22968.05,1738042326
22968.55,1738042326
22967.00,1738042327
22968.85,1738042327
22971.20,1738042328
22972.65,1738042328
22972.50,1738042329
22970.70,1738042329
22969.95,1738042330
22970.20,1738042330
22968.20,1738042331
22970.20,1738042331
22969.65,1738042332
22967.95,1738042332
22970.55,1738042333
22968.90,1738042333
22969.95,1738042334
22970.45,1738042334
22969.80,1738042335
22968.15,1738042335
22969.35,1738042336
22967.80,1738042336
22966.90,1738042337
22966.50,1738042337
22965.25,1738042338
22965.95,1738042338
22965.40,1738042339
22966.10,1738042340
22965.80,1738042340
22965.90,1738042341
22967.35,1738042341
22967.10,1738042342
22966.70,1738042342
22966.75,1738042343
22969.65,1738042343
22969.50,1738042344
22970.15,1738042344
22971.50,1738042345
22970.15,1738042345
22969.70,1738042346
22970.00,1738042346
22970.25,1738042347
22970.30,1738042347
22970.60,1738042348
22971.15,1738042348
22972.10,1738042349
22972.55,1738042349
22973.45,1738042350
22972.95,1738042350
22974.75,1738042351
22974.75,1738042351
22973.80,1738042352
22973.35,1738042352
22973.80,1738042353
22974.35,1738042353
22973.80,1738042354
22974.35,1738042354
22974.90,1738042355
22974.75,1738042355
22975.95,1738042356
22976.30,1738042356
22977.30,1738042357
22978.50,1738042357
22979.60,1738042358
22984.30,1738042358
22985.75,1738042359
22985.95,1738042359
22984.90,1738042360
22982.60,1738042360
22982.10,1738042361
22983.50,1738042361
22983.10,1738042362
22984.10,1738042362
22984.30,1738042363
22983.05,1738042363
22983.30,1738042364
22983.45,1738042364
22979.30,1738042365
22980.10,1738042365
22979.90,1738042366
22978.65,1738042366
22976.35,1738042367
22977.50,1738042367
22975.65,1738042368
22975.95,1738042368
22975.75,1738042369
22973.85,1738042369
22974.65,1738042370
22974.15,1738042370
22973.75,1738042371
22975.80,1738042371
22974.50,1738042372
22974.10,1738042372
22974.00,1738042373
22973.45,1738042373
22973.65,1738042374
22974.45,1738042374
22974.60,1738042375
22976.45,1738042375
22976.40,1738042376
22977.75,1738042376
22976.15,1738042377
22976.45,1738042377
22977.10,1738042378
22975.30,1738042378
22974.60,1738042379
22974.90,1738042379
22975.25,1738042380
22974.55,1738042380
22975.75,1738042381
22974.05,1738042381
22973.65,1738042382
22973.70,1738042382
22971.80,1738042383
22971.85,1738042384
22972.85,1738042384
22972.60,1738042385
22972.10,1738042385
22972.50,1738042386
22972.75,1738042386
22971.65,1738042387
22972.40,1738042387
22971.25,1738042388
22971.30,1738042388
22971.85,1738042389
