token,ltp,ltt
NIFTY,25333.7,1755833401
NIFTY,25538,1755833401
NIFTY,25516.25,1755833402
NIFTY,25576.8,1755833402
NIFTY,25540.75,1755833403
NIFTY,25470.25,1755833403
NIFTY,25499.95,1755833404
NIFTY,25493.65,1755833404
NIFTY,25365.5,1755833405
NIFTY,25364.95,1755833405
NIFTY,25358.05,1755833406
NIFTY,25365.05,1755833406
NIFTY,25356.55,1755833407
NIFTY,25345.15,1755833407
NIFTY,25376.35,1755833408
NIFTY,25442.95,1755833408
NIFTY,25433.6,1755833409
NIFTY,25431.25,1755833409
NIFTY,25320.1,1755833410
NIFTY,25320.15,1755833410
NIFTY,25318.2,1755833411
NIFTY,25301,1755833411
NIFTY,25300.55,1755833412
NIFTY,25288.8,1755833412
NIFTY,25290,1755833413
NIFTY,25289.5,1755833413
NIFTY,25280,1755833414
NIFTY,25280.7,1755833414
NIFTY,25280.25,1755833415
NIFTY,25279.9,1755833415
NIFTY,25287,1755833416
NIFTY,25284.25,1755833416
NIFTY,25283,1755833417
NIFTY,25278.6,1755833417
NIFTY,25278.7,1755833418
NIFTY,25274.4,1755833418
NIFTY,25272.35,1755833419
NIFTY,25271.4,1755833419
NIFTY,25271,1755833420
NIFTY,25266.85,1755833420
NIFTY,25263.15,1755833421
NIFTY,25260.05,1755833421
NIFTY,25261.45,1755833422
NIFTY,25259.4,1755833422
NIFTY,25259.8,1755833423
NIFTY,25256.35,1755833424
NIFTY,25242.15,1755833424
NIFTY,25244.3,1755833425
NIFTY,25260.6,1755833425
NIFTY,25243.55,1755833426
NIFTY,25242.1,1755833426
NIFTY,25242.45,1755833427
NIFTY,25236.45,1755833427
NIFTY,25234.75,1755833428
NIFTY,25233.5,1755833428
NIFTY,25233.15,1755833429
NIFTY,25233.1,1755833429
NIFTY,25232.4,1755833430
NIFTY,25233.6,1755833430
NIFTY,25226.25,1755833431
NIFTY,25218.45,1755833431
NIFTY,25203,1755833432
NIFTY,25201,1755833432
NIFTY,25199.3,1755833433
NIFTY,25197.3,1755833434
NIFTY,25189.7,1755833435
NIFTY,25175.6,1755833435
NIFTY,25176.6,1755833436
NIFTY,25175.5,1755833436
NIFTY,25172.95,1755833437
NIFTY,25173.6,1755833437
NIFTY,25172.8,1755833438
NIFTY,25171.45,1755833438
NIFTY,25169.35,1755833439
NIFTY,25168.95,1755833440
NIFTY,25166.2,1755833441
NIFTY,25166.65,1755833441
NIFTY,25166.2,1755833442
NIFTY,25163.6,1755833443
NIFTY,25161.2,1755833443
NIFTY,25160.35,1755833444
NIFTY,25170.45,1755833444
NIFTY,25168.2,1755833445
NIFTY,25167.1,1755833445
NIFTY,25168.85,1755833446
NIFTY,25168.7,1755833446
NIFTY,25168.25,1755833447
NIFTY,25150.65,1755833448
NIFTY,25150.45,1755833449
NIFTY,25148.1,1755833450
NIFTY,25145.65,1755833450
NIFTY,25145.85,1755833451
NIFTY,25147.5,1755833451
NIFTY,25148.45,1755833452
NIFTY,25143.1,1755833452
NIFTY,25142.35,1755833453
NIFTY,25142.3,1755833453
NIFTY,25139,1755833454
NIFTY,25137.9,1755833454
NIFTY,25138.3,1755833455
NIFTY,25135.55,1755833455
NIFTY,25131.2,1755833456
NIFTY,25129.55,1755833457
NIFTY,25138.2,1755833457
NIFTY,25138.05,1755833458
NIFTY,25135.1,1755833458
NIFTY,25134.7,1755833459
NIFTY,25132.45,1755833459
NIFTY,25129.9,1755833460
NIFTY,25130.1,1755833461
NIFTY,25130.35,1755833462
NIFTY,25134.2,1755833462
NIFTY,25129.7,1755833463
NIFTY,25131.3,1755833463
