token,ltp,ltt
71992,84.95,
72040,38.05,
71988,133.65,
71989,107.5,
71987,87.85,
71975,70.25,
71973,56.55,
71971,45,
71969,36.15,
72036,65.95,
72038,51.15,
71990,107.5,
71975,74.8,1755834300
71992,67.55,1755834300
71969,38.6,1755834300
71987,101.8,1755834300
71989,116.85,1755834300
71988,112.65,1755834300
71989,117.1,1755834300
71988,113.6,1755834300
71975,78,1755834300
72040,29.8,1755834300
71987,97.6,1755834300
71992,68.8,1755834300
71969,39.05,1755834300
72036,55.8,1755834300
71971,50.05,1755834300
72038,40.1,1755834300
71973,64.75,1755834300
71990,89.8,1755834300
72036,52.6,1755834300
71971,53.55,1755834300
71973,65.15,1755834300
72038,38.4,1755834300
72040,30.05,1755834300
71992,65.65,1755834300
71969,43.95,1755834300
72036,50.6,1755834300
71971,57.75,1755834300
71990,82.4,1755834300
71989,134.15,1755834300
71988,105.5,1755834300
71987,109.9,1755834300
71975,85.45,1755834301
72040,27.5,1755834301
72038,38.6,1755834301
71973,66.75,1755834301
71975,83.95,1755834301
72040,28.1,1755834301
71969,43.15,1755834301
71992,64.7,1755834301
71992,63.4,1755834301
71989,129.05,1755834301
71988,103.4,1755834301
72036,48.4,1755834301
71971,54.35,1755834301
72038,37.05,1755834301
71973,68.05,1755834301
71990,82.05,1755834301
71987,105.9,1755834301
71969,44.9,1755834301
71989,131.45,1755834301
71988,102.8,1755834301
71987,108.55,1755834301
72036,47.65,1755834301
71971,56.7,1755834301
71975,88.6,1755834302
72040,26.15,1755834302
71973,71.4,1755834302
72038,35.65,1755834302
71992,62.45,1755834302
71969,45.85,1755834302
72036,47,1755834302
71971,57.4,1755834302
71990,80.05,1755834302
71987,111.4,1755834302
71989,137.1,1755834302
71988,103.15,1755834302
71975,92.05,1755834302
72040,26.55,1755834303
71975,91.45,1755834303
72040,26.75,1755834303
71989,137.65,1755834303
71988,102.05,1755834303
72038,35.75,1755834303
71973,73.35,1755834303
72038,35.9,1755834303
71973,72.9,1755834303
71992,63.7,1755834303
71969,45.8,1755834303
71987,113.1,1755834303
71992,64.1,1755834303
71969,46.35,1755834303
71990,82.15,1755834303
72036,48.25,1755834303
71971,58.7,1755834303
72036,48,1755834303
71971,58.15,1755834303
71990,81.8,1755834303
71987,112.6,1755834303
71989,137.75,1755834303
71988,103.05,1755834303
71975,92.6,1755834304
72040,26.95,1755834304
72038,35.45,1755834304
71973,74.9,1755834304
71992,62.5,1755834304
72036,46.7,1755834304
71971,59.15,1755834304
71990,79.65,1755834304
72040,26.55,1755834304
71975,92.4,1755834304
71987,113.7,1755834304
71989,139.7,1755834304
71988,100.45,1755834304
71989,139.3,1755834304
71988,100.8,1755834304
72038,35.35,1755834304
71973,75,1755834304
71992,61.5,1755834304
71987,113.55,1755834304
71990,79.3,1755834304
71971,57.85,1755834305
71969,46.3,1755834305
71975,91.55,1755834305
72040,26.15,1755834305
72038,34.9,1755834305
71973,73.6,1755834305
71992,61.05,1755834305
71969,46.45,1755834305
72036,47,1755834305
71971,58.75,1755834305
71990,78.45,1755834305
71987,115.25,1755834305
71989,141.2,1755834305
71988,98.85,1755834305
71975,94.55,1755834306
72040,25.4,1755834306
72038,34.1,1755834306
71973,76.55,1755834306
71975,95,1755834306
72040,25.3,1755834306
71988,97.25,1755834306
71992,59.55,1755834306
72038,34.4,1755834306
71992,59.75,1755834306
71969,47.95,1755834306
72036,45.35,1755834306
71971,60.7,1755834306
71973,76.2,1755834306
71990,76.05,1755834306
71987,117.45,1755834306
71969,48.05,1755834306
71989,144.2,1755834306
71988,96.4,1755834306
71987,116.2,1755834306
72036,44.95,1755834306
71971,60.35,1755834306
71975,94.3,1755834307
72040,25.05,1755834307
72038,34.2,1755834307
71973,75.1,1755834307
71969,46.7,1755834307
71992,60.2,1755834307
72036,46.05,1755834307
71971,59,1755834307
71990,77.7,1755834307
71987,113.9,1755834307
71989,140.05,1755834307
71988,98.15,1755834307
71975,91.6,1755834307
72040,25.9,1755834307
71989,138.95,1755834307
71988,98.95,1755834307
71975,90.95,1755834308
72040,25.85,1755834308
72038,35.1,1755834308
71973,72.25,1755834308
71973,72.65,1755834308
71992,61.05,1755834308
71969,45.15,1755834308
71987,112.5,1755834308
71969,45.05,1755834308
71990,78.8,1755834308
72036,46.7,1755834308
71971,57.55,1755834308
72036,46.95,1755834308
71971,57.25,1755834308
71990,79.1,1755834308
71987,112.2,1755834308
71989,137.9,1755834308
71988,99.85,1755834308
71975,90,1755834309
72040,27.3,1755834309
72038,36.15,1755834309
71973,71.7,1755834309
71992,63.55,1755834309
71969,44.35,1755834309
71975,89,1755834309
71989,135.45,1755834309
71988,102.75,1755834309
72036,48.65,1755834309
71971,56.45,1755834309
71990,81.35,1755834309
71987,110.4,1755834309
71989,135.55,1755834309
71988,102.7,1755834309
72038,36.55,1755834309
71973,71.85,1755834309
