eventName,open,close,high,low,S1,R1,S2,R2
priceUpdate_60,24032.45,24039.95,24039.95,24032.3,24034.85,24042.5,24029.75,24045.05
priceUpdate_120,24032.45,24040.2,24043.9,24032.3,24033.7,24045.3,24027.2,24050.4
priceUpdate_60,24039.35,24041.05,24043.9,24038.5,24038.4,24043.8,24035.75,24046.55
priceUpdate_60,24040.5,24038.2,24041.75,24035.25,24035.05,24041.55,24031.9,24044.9
priceUpdate_120,24041.05,24040.1,24041.75,24031.8,24034.02,24043.97,24027.93,24047.83
priceUpdate_60,24038,24040.1,24040.55,24031.8,24034.42,24043.17,24028.73,24046.23
priceUpdate_300,24032.45,24048.65,24048.65,24031.8,24037.42,24054.27,24026.18,24059.88
priceUpdate_60,24039.6,24048.85,24048.85,24038.3,24041.82,24052.37,24034.78,24055.88
priceUpdate_120,24039.55,24050.35,24053.5,24038.3,24041.27,24056.47,24032.18,24062.58
priceUpdate_60,24048.55,24051.45,24053.5,24046.2,24047.27,24054.57,24043.08,24057.68
priceUpdate_60,24051.2,24054.2,24054.25,24047,24049.38,24056.63,24044.57,24059.07
priceUpdate_120,24050.4,24049.9,24054.55,24047,24046.42,24053.97,24042.93,24058.03
priceUpdate_60,24053.95,24050,24054.55,24047.55,24046.85,24053.85,24043.7,24057.7
priceUpdate_60,24049.1,24044.9,24050.05,24044.4,24042.85,24048.5,24040.8,24052.1
priceUpdate_300,24048.6,24035.25,24054.55,24033.25,24027.48,24048.78,24019.72,24062.32
priceUpdate_120,24049.95,24035.8,24050.45,24033.25,24029.22,24046.42,24022.63,24057.03
priceUpdate_60,24044.3,24037.15,24045.25,24033.25,24031.85,24043.85,24026.55,24050.55
priceUpdate_60,24038.9,24032.15,24038.9,24027.9,24027.07,24038.07,24021.98,24043.98
priceUpdate_120,24035.7,24022.55,24038.9,24022.55,24017.1,24033.45,24011.65,24044.35
priceUpdate_60,24031.7,24023.35,24033.05,24021.8,24019.08,24030.33,24014.82,24037.32
priceUpdate_60,24022.3,24016.6,24023.5,24010.15,24010,24023.35,24003.4,24030.1
priceUpdate_120,24022.3,24022,24023.55,24010.15,24013.58,24026.98,24005.17,24031.97
priceUpdate_60,24016.35,24022.15,24022.55,24012.45,24015.55,24025.65,24008.95,24029.15
priceUpdate_300,24035.85,24020.95,24038.9,24010.15,24007.77,24036.52,23994.58,24052.08
priceUpdate_60,24022.3,24021.15,24023.85,24016.7,24017.28,24024.43,24013.42,24027.72
priceUpdate_120,24021.2,24026,24027.4,24016.7,24019.33,24030.03,24012.67,24034.07
priceUpdate_60,24022.25,24029.2,24029.2,24020.5,24023.4,24032.1,24017.6,24035
priceUpdate_60,24028.05,24032.7,24036.15,24028,24028.42,24036.57,24024.13,24040.43
priceUpdate_120,24024.95,24037.65,24043.5,24024.95,24027.23,24045.78,24016.82,24053.92
priceUpdate_60,24032.55,24038.25,24043.5,24031.25,24031.83,24044.08,24025.42,24049.92
priceUpdate_60,24038.5,24040.9,24042.8,24032.15,24034.43,24045.08,24027.97,24049.27
priceUpdate_300,24020.7,24040.8,24043.5,24019.3,24025.57,24049.77,24010.33,24058.73
priceUpdate_120,24039.4,24044.75,24044.75,24032.15,24036.35,24048.95,24027.95,24053.15
priceUpdate_60,24041.15,24043.8,24044.95,24035.65,24037.98,24047.28,24032.17,24050.77
priceUpdate_60,24043.55,24034.1,24044.65,24031.7,24028.98,24041.93,24023.87,24049.77
priceUpdate_120,24043.6,24031.3,24044.95,24028.8,24025.08,24041.23,24018.87,24051.17
priceUpdate_60,24034.4,24030.6,24038.5,24028.8,24026.77,24036.47,24022.93,24042.33
priceUpdate_60,24030.5,24026.85,24030.5,24024.2,24023.87,24030.17,24020.88,24033.48
priceUpdate_120,24031.05,24024.15,24031.35,24022.75,24020.82,24029.42,24017.48,24034.68
priceUpdate_60,24026.55,24021.6,24029.9,24021.6,24018.83,24027.13,24016.07,24032.67
priceUpdate_300,24041.85,24018.2,24044.95,24016.35,24008.05,24036.65,23997.9,24055.1
priceUpdate_60,24021.1,24018.35,24021.3,24014.3,24014.67,24021.67,24010.98,24024.98
priceUpdate_120,24023.35,24016.9,24024.75,24013.85,24012.25,24023.15,24007.6,24029.4
priceUpdate_60,24017.2,24016.7,24019.8,24013.85,24013.77,24019.72,24010.83,24022.73
priceUpdate_60,24017.05,24015.05,24018.35,24010.75,24011.08,24018.68,24007.12,24022.32
priceUpdate_120,24016.25,24025.3,24026.15,24010.75,24015.32,24030.72,24005.33,24036.13
priceUpdate_60,24014.85,24025,24026.35,24012.85,24016.45,24029.95,24007.9,24034.9
priceUpdate_60,24026.95,24019.1,24026.95,24016.9,24015.02,24025.07,24010.93,24031.03
priceUpdate_300,24015.25,24015.95,24026.95,24010.75,24008.82,24025.02,24001.68,24034.08
priceUpdate_120,24025.1,24017.05,24026.95,24013.8,24011.58,24024.73,24006.12,24032.42
priceUpdate_60,24018.45,24018.9,24020.2,24013.8,24015.07,24021.47,24011.23,24024.03
priceUpdate_60,24019.4,24020,24020.75,24008.75,24012.25,24024.25,24004.5,24028.5
priceUpdate_120,24017.5,24016.2,24020.75,24008.75,24009.72,24021.72,24003.23,24027.23
priceUpdate_60,24019.3,24016,24019.95,24010.25,24010.85,24020.55,24005.7,24025.1
priceUpdate_60,24015.15,24016.2,24022.2,24014.95,24013.37,24020.62,24010.53,24025.03
