time,open,high,low,close,median,callToken,callbuyQty,callsellQty,callChange,putToken,putbuyQty,putsellQty,putChange,mad
14:27:55,24973.5,24976.05,24968.65,24973.6,24971.8,NIFTY24JUL25C24950,6300,5475,-39.95,NIFTY24JUL25P24950,24225,12375,69.75,1.7
14:29:55,24973.95,24988.15,24973.85,24985.35,24983.63,NIFTY24JUL25C25000,10125,15000,-39.8,NIFTY24JUL25P25000,10650,10050,62.29,4
14:32:01,24985,24991.6,24984,24985.3,24988.53,NIFTY24JUL25C25000,5100,8925,-40.66,NIFTY24JUL25P25000,10950,5850,63.06,1.55
14:33:56,24984.85,24998.85,24983.85,24995.35,24995.75,NIFTY24JUL25C25000,5775,8175,-37.76,NIFTY24JUL25P25000,12900,4425,56.32,1.23
14:35:57,24995.45,25005.2,24995.35,24998.9,25000.8,NIFTY24JUL25C25000,7575,8325,-36.9,NIFTY24JUL25P25000,10725,11175,53.58,1.35
14:37:57,24999.35,24999.35,24982.95,24985.1,24987.98,NIFTY24JUL25C25000,7200,9225,-39.08,NIFTY24JUL25P25000,15375,11850,57.51,3.57
14:39:58,24983.8,24986.1,24977.35,24977.7,24980.82,NIFTY24JUL25C25000,7500,7125,-42.24,NIFTY24JUL25P25000,9675,9975,65.8,1.12
14:41:58,24979.4,24983.55,24976.3,24979.3,24980.53,NIFTY24JUL25C25000,9975,7500,-42.09,NIFTY24JUL25P25000,11175,9900,66.01,1.05
14:43:59,24979.1,24984,24974.8,24977.45,24977.7,NIFTY24JUL25C25000,7350,7725,-41.54,NIFTY24JUL25P25000,13125,11475,63.27,1.25
14:45:59,24979.75,24979.75,24952.95,24954.95,24964.7,NIFTY24JUL25C24950,6300,5025,-41.77,NIFTY24JUL25P24950,8850,10575,75.37,6.9
14:48:00,24954.9,24971.1,24954.9,24963.95,24967.7,NIFTY24JUL25C24950,4500,3900,-41.16,NIFTY24JUL25P24950,6075,11175,73.64,2
14:50:00,24963.9,24967.8,24961.7,24964.2,24964.75,NIFTY24JUL25C24950,6450,10575,-41.28,NIFTY24JUL25P24950,5175,11625,74.59,0.7
14:52:01,24963.8,24966.5,24959.85,24962.25,24962.85,NIFTY24JUL25C24950,6000,3300,-41.33,NIFTY24JUL25P24950,9150,9825,73.38,1
14:54:01,24961.85,24969.95,24960.7,24969.9,24965.7,NIFTY24JUL25C24950,4950,5550,-39.61,NIFTY24JUL25P24950,12375,8175,65.25,1.45
14:56:02,24968.15,24972.95,24966.75,24966.75,24969.7,NIFTY24JUL25C24950,4725,5925,-40.92,NIFTY24JUL25P24950,7050,10350,70.44,0.7
14:58:02,24966.45,24972.15,24963.1,24972.15,24966.6,NIFTY24JUL25C24950,5700,4950,-38.61,NIFTY24JUL25P24950,14100,9150,62.06,1.35
15:00:03,24972.4,24976.3,24968.55,24976.3,24971.2,NIFTY24JUL25C25000,4875,14100,-40.55,NIFTY24JUL25P25000,11325,9225,60.39,0.85
15:02:03,24976.2,24980.9,24967.6,24971.3,24971.63,NIFTY24JUL25C24950,3900,5475,-38.8,NIFTY24JUL25P24950,7350,11400,62.4,1.97
15:04:03,24971.8,24975.55,24963.85,24964.55,24972.7,NIFTY24JUL25C24950,3450,7125,-40.52,NIFTY24JUL25P24950,11250,11175,68.71,1.67
15:06:04,24964.5,24968.1,24962.7,24966.2,24965.7,NIFTY24JUL25C24950,5325,7500,-39.73,NIFTY24JUL25P24950,9750,10500,67.16,0.75
15:08:04,24966.5,24973.35,24965.75,24969.7,24968.2,NIFTY24JUL25C24950,8925,6750,-39.78,NIFTY24JUL25P24950,13275,16350,66.12,1
15:10:04,24969.55,24971.35,24962.95,24967.75,24966,NIFTY24JUL25C24950,4125,7575,-39.65,NIFTY24JUL25P24950,15600,4500,68.11,1.45
15:12:04,24968.8,24969.3,24966.5,24969.1,24967.7,NIFTY24JUL25C24950,7575,7875,-39.44,NIFTY24JUL25P24950,10650,14250,67.33,0.4
15:14:05,24968.65,24975.7,24966.35,24967.2,24970.55,NIFTY24JUL25C24950,7800,12300,-39.31,NIFTY24JUL25P24950,8700,9525,67.5,1.5
15:16:05,24967.05,24973.25,24967.05,24969.15,24970.7,NIFTY24JUL25C24950,6375,4875,-38.43,NIFTY24JUL25P24950,12600,3675,65.43,1.05
15:18:05,24969.7,24972.7,24967.9,24970.8,24971,NIFTY24JUL25C24950,6750,4650,-38.31,NIFTY24JUL25P24950,10650,11400,64.39,0.6
15:20:06,24969.15,24971.85,24965.25,24966,24969.25,NIFTY24JUL25C24950,3825,6225,-38.52,NIFTY24JUL25P24950,5775,9000,65.17,0.7
15:22:06,24966.65,24970.9,24963.55,24970.4,24967.1,NIFTY24JUL25C24950,3000,6900,-38.01,NIFTY24JUL25P24950,8025,10425,66.03,1.35
15:24:06,24971.15,24973.95,24968.25,24973.65,24970.55,NIFTY24JUL25C24950,16800,7800,-37.65,NIFTY24JUL25P24950,6975,9900,65.95,0.5
15:26:07,24972.3,24976.35,24971.4,24974.45,24974.45,NIFTY24JUL25C24950,3375,2775,-37.78,NIFTY24JUL25P24950,6600,3975,65.69,0.75
15:28:07,24974.65,24978.4,24971.75,24973.7,24975.45,NIFTY24JUL25C24950,675,1650,-37.63,NIFTY24JUL25P24950,3150,12675,65.69,1.2
15:31:00,24974.3,24976.3,24963.3,24968.4,24972.1,NIFTY24JUL25C24950,1575,750,-37.76,NIFTY24JUL25P24950,1875,2175,71.31,1.6
15:06:20,25076.1,25084.45,25076.1,25081.3,25081.2,NIFTY24JUL25C25100,8475,12675,11.68,NIFTY24JUL25P25100,8700,12675,-46.41,0.82
15:11:29,25074.5,25081.55,25072.2,25081.1,25076.65,NIFTY24JUL25C25100,9600,7350,6.29,NIFTY24JUL25P25100,9150,10650,-44.92,1.65
15:13:29,25081.5,25088.65,25079.75,25084.7,25083.8,NIFTY24JUL25C25100,11400,4725,5.33,NIFTY24JUL25P25100,5250,9600,-45.04,0.9
15:15:30,25083.45,25090.55,25083,25088.25,25088.5,NIFTY24JUL25C25100,6150,10275,6.63,NIFTY24JUL25P25100,4950,10950,-46.5,0.7
10:51:57,25096.5,25100.2,25095.2,25098.05,25098.05,NIFTY24JUL25C25100,14100,24150,-13.72,NIFTY24JUL25P25100,9975,21675,-19.08,0.7
10:53:57,25098.25,25098.95,25086.1,25091.85,25091.6,NIFTY24JUL25C25100,12300,10725,-16.42,NIFTY24JUL25P25100,10800,16950,-16.91,3.6
10:55:58,25092.95,25094.3,25088.75,25090,25092.7,NIFTY24JUL25C25100,11325,12150,-17.5,NIFTY24JUL25P25100,12150,13950,-14.96,0.55
10:57:59,25089.6,25092.6,25085.85,25086.7,25089.25,NIFTY24JUL25C25100,8400,11925,-19.21,NIFTY24JUL25P25100,9675,15600,-14.06,1.45
10:59:59,25086.4,25088.55,25082.85,25085.7,25085.9,NIFTY24JUL25C25100,12075,19125,-20.04,NIFTY24JUL25P25100,15075,16125,-12.95,1.4
13:41:38,25171.45,25182,25170.1,25172.1,25175,NIFTY24JUL25C25150,8625,13350,78.83,NIFTY24JUL25P25150,35775,33075,-65.26,2.4
13:59:15,25173.15,25195.55,25169.25,25194.7,25181.95,NIFTY24JUL25C25200,26925,20700,106.64,NIFTY24JUL25P25200,12000,11550,-65.99,3.9
14:09:16,25195,25195.1,25182.65,25187.25,25188.35,NIFTY24JUL25C25200,24300,21750,84.97,NIFTY24JUL25P25200,12525,38550,-63.52,1.3
14:19:17,25187.1,25218.65,25184.4,25205.8,25197.6,NIFTY24JUL25C25200,17325,18300,107.69,NIFTY24JUL25P25200,17175,20175,-68.39,9.38
14:29:17,25205.7,25210,25195.8,25198.8,25202.45,NIFTY24JUL25C25200,18825,25650,94.93,NIFTY24JUL25P25200,26550,36750,-66.97,3.3
14:39:17,25198.4,25212.7,25192,25210,25204.73,NIFTY24JUL25C25200,12000,30075,113.29,NIFTY24JUL25P25200,21450,15825,-69.55,3.38
14:49:18,25210.3,25212.8,25200.9,25206.7,25208.7,NIFTY24JUL25C25200,19200,24075,106.99,NIFTY24JUL25P25200,20100,24600,-69,1.55
14:59:18,25208.55,25216.55,25203.05,25213.4,25207.4,NIFTY24JUL25C25200,13425,16650,115.38,NIFTY24JUL25P25200,15600,13875,-72.43,2.45
15:09:19,25213.7,25231.7,25210.5,25228.95,25227.65,NIFTY24JUL25C25250,36525,30450,103.13,NIFTY24JUL25P25250,13425,14400,-66.76,1.85
15:19:19,25228.65,25233.4,25217,25219.95,25228.7,NIFTY24JUL25C25200,8400,18750,118.18,NIFTY24JUL25P25200,15450,35250,-75.3,1.7
12:05:36,25095.8,25098.05,25027.3,25027.9,25069.6,NIFTY24JUL25C25050,7875,12225,-82.35,NIFTY24JUL25P25050,6300,6000,507.25,9.45
12:15:36,25027.05,25053.35,25019.3,25047.8,25038.55,NIFTY24JUL25C25050,12900,17325,-80.09,NIFTY24JUL25P25050,19125,14025,358.55,5.8
12:59:22,25075.7,25083.45,25051.55,25051.55,25071.7,NIFTY24JUL25C25050,17625,16650,-81.55,NIFTY24JUL25P25050,34350,20925,187.56,5.3
13:09:22,25051.95,25060.05,25030.65,25053.65,25052.9,NIFTY24JUL25C25050,26475,22650,-84.62,NIFTY24JUL25P25050,39900,22425,154.4,2.25
13:19:23,25053.95,25070.85,25052.55,25063.35,25057.35,NIFTY24JUL25C25050,13275,28500,-80.95,NIFTY24JUL25P25050,60525,24600,88.6,1.95
13:29:23,25063.2,25063.95,25050.45,25060.25,25055.8,NIFTY24JUL25C25050,20475,50250,-82.87,NIFTY24JUL25P25050,55575,60750,89.12,1.7
13:39:24,25059.85,25065.05,25051.85,25056,25058.95,NIFTY24JUL25C25050,68250,29550,-88.85,NIFTY24JUL25P25050,51675,34875,109.33,2
10:51:09,24846.85,24880.2,24845.1,24875.75,24868.05,NIFTY31JUL25C24900,8625,8025,-50.25,NIFTY31JUL25P24900,11775,6075,149.45,3.05
11:07:37,24865.4,24891.6,24862.45,24885.35,24872.45,NIFTY31JUL25C24900,5775,11550,-49.29,NIFTY31JUL25P24900,6150,9000,137.48,5.18
11:17:37,24885.95,24888.85,24854.8,24858.45,24870.3,NIFTY31JUL25C24850,5400,4050,-50.96,NIFTY31JUL25P24850,7800,4800,175.9,7.35
11:38:45,24883.15,24916.85,24859.75,24860.25,24878.25,NIFTY31JUL25C24850,11850,7125,-49.57,NIFTY31JUL25P24850,8550,9375,157.92,10.55
