ANT Stock Code,Stock Name,Option Quote,Option Contract,Option Quote EOD,Stock LTP,1st15m High,1st15m Low,Result,Lot Size,Capital
HDFCBANK,Hdfc Bank Limited,3,HDFCBANK29SEP26P720,,,,,,650,1950
PNB,Punjab National Bank Ltd,0.82,PNB29SEP26P117,,,,,,8000,6560
INFY,Infosys Limited,6.4,INFY29SEP26P1000,,,,,,400,2560
VEDL,Vedanta Limited,2,VEDL29SEP26P265,,,,,,1150,2300
HINDALCO,Hindalco Industries Limited,6.85,HINDALCO29SEP26P980,,,,,,700,4795
GAIL,Gail (india) Limited,0.55,GAIL29SEP26P170,,,,,,3550,1952.5000000000002
BPCL,Bharat Petroleum Corporation Limited,2,BPCL29SEP26P310,,,,,,1975,3950
ADANIPORTS,Adani Ports And Special Economic Zone Limited,10.35,ADANIPORTS29SEP26P1780,,,,,,475,4916.25
HINDUNILVR,Hindustan Unilever Limited,7.95,HINDUNILVR29SEP26P1920,,,,,,300,2385
HDFCAMC,HDFC Asset Management Company Ltd,17.3,HDFCAMC29SEP26P2400,,,,,,300,5190
LT,Larsen & Toubro Limited,18.6,LT29SEP26P3850,,,,,,175,3255.0000000000005
AMBUJACEM,Ambuja Cements Limited,2.45,AMBUJACEM29SEP26P385,,,,,,1200,2940
NESTLEIND,Nestle India Limited,8.75,NESTLEIND29SEP26P1370,,,,,,500,4375
PIDILITIND,Pidilite Industries Limited,7.2,PIDILITIND29SEP26P1540,,,,,,500,3600
GODREJCP,Godrej Consumer Products Limited,5.05,GODREJCP29SEP26P870,,,,,,500,2525
MARUTI,Maruti Suzuki India Limited,90,MARUTI29SEP26P12100,,,,,,50,4500
BAJAJHLDNG,Bajaj Holdings & Investment Limited,108.35,BAJAJHLDNG29SEP26P11200,,,,,,75,8126.25
,TOTAL,,,,,,,,,65880
