open,high,low,close,average,median,stdDeviation,trend,macd,rsi,bollinger,time,diff,range,diffFromHigh
23430.45,23433.25,,23419.60,23427.334333333336,23426.45,3.4260625440226913,Sideways,DOWN,NEUTRAL,neutral,1.739160709241e+12,-10.850000000002183,NaN,NaN
23419.70,23422.55,,23407.45,23413.108500000006,23412.2,4.899066518225661,Sideways,DOWN,NEUTRAL,neutral,1.739160864744e+12,-12.25,NaN,NaN
23407.30,23419.4,,23418.70,23411.893666666667,23411.074999999997,3.7890535171142554,Sideways,DOWN,NEUTRAL,neutral,1.73916101773e+12,11.400000000001455,NaN,NaN
23418.20,23424.35,,23422.75,23420.570999999996,23421.15,2.2657689643915293,Sideways,DOWN,NEUTRAL,neutral,1.739161174231e+12,4.549999999999272,NaN,NaN
23422.45,23438.4,,23432.30,23429.158666666666,23429.05,3.851691172574473,Sideways,DOWN,NEUTRAL,neutral,1.739161329227e+12,9.849999999998545,NaN,NaN
23448.90,23459.55,23443.45,23451.40,23450.158500000012,23450.7,3.4732265618585076,Sideways,DOWN,NEUTRAL,neutral,1.739161685239e+12,2.5,16.099999999998545,50.621118012413376
23450.90,23455.75,23443.35,23451.75,23449.36850000001,23449.425000000003,2.4437708737386683,Sideways,DOWN,NEUTRAL,neutral,1.739161837742e+12,0.8499999999985448,12.400000000001455,32.258064516125245
23450.60,23459.7,23448.2,23453.20,23455.23233333334,23455.45,2.424363398686136,Sideways,DOWN,NEUTRAL,neutral,1.73916199473e+12,2.600000000002183,11.5,56.52173913043478
23455.00,23461.4,23431.9,23437.90,23448.61116666668,23451.824999999997,8.620164362637723,Sideways,DOWN,NEUTRAL,neutral,1.739162147731e+12,-17.099999999998545,29.5,79.66101694915254
23438.20,23442.25,23409.85,23418.50,23430.220833333326,23435.45,10.287853240864019,Sideways,DOWN,NEUTRAL,neutral,1.739162303731e+12,-19.700000000000728,32.400000000001455,73.30246913579917
23418.70,23418.7,23376.15,23376.15,23394.13450000001,23391.125,11.02443051061294,Sideways,DOWN,UP,neutral,1.739162461233e+12,-42.54999999999927,42.54999999999927,100
23376.00,23388.7,23366.45,23368.10,23376.738,23377,5.881067590157378,Sideways,DOWN,NEUTRAL,neutral,1.739162614228e+12,-7.900000000001455,22.25,92.58426966293116
23369.05,23379.1,23359,23359.80,23369.017000000014,23369.725,5.954509019781999,Sideways,DOWN,NEUTRAL,neutral,1.739162770227e+12,-9.25,20.099999999998545,96.01990049751576
23359.50,23375.05,23357.9,23373.80,23366.932999999994,23367.85,5.065233887327732,Sideways,DOWN,NEUTRAL,neutral,1.739162924728e+12,14.299999999999272,17.149999999997817,7.288629737610257
23373.15,23381.35,23363.9,23374.00,23372.83866666667,23373.05,4.362597264117785,Sideways,DOWN,NEUTRAL,neutral,1.739163080231e+12,0.8499999999985448,17.44999999999709,42.12034383954023
23374.95,23388.1,23373.4,23387.50,23378.747666666666,23377.6,3.9351888420025487,Sideways,DOWN,NEUTRAL,neutral,1.739163237231e+12,12.549999999999272,14.69999999999709,4.081632653052133
23384.50,23386.9,23374.3,23386.30,23380.673833333334,23381.25,2.9921742884101783,Sideways,DOWN,NEUTRAL,neutral,1.739163532741e+12,1.7999999999992724,12.600000000002183,4.761904761921261
23387.10,23388.3,23375.25,23379.10,23380.925333333333,23380.324999999997,3.7186634994608068,Sideways,DOWN,NEUTRAL,neutral,1.739163747232e+12,-8,13.049999999999272,70.49808429119724
23378.05,23382.95,23369.25,23372.85,23375.90816666667,23374.75,3.359219895385859,Sideways,DOWN,NEUTRAL,neutral,1.739163903738e+12,-5.200000000000728,13.700000000000728,73.7226277372383
23372.60,23394.25,23363.9,23393.70,23371.925833333335,23369.45,7.646565087599088,Sideways,DOWN,NEUTRAL,neutral,1.739164061229e+12,21.100000000002183,30.349999999998545,1.8121911037868164
23392.70,23402.4,23384.95,23400.35,23394.97833333332,23396,5.146655602319642,Sideways,DOWN,NEUTRAL,neutral,1.739164216229e+12,7.649999999997817,17.450000000000728,11.747851002881518
23400.80,23406.15,23397.35,23402.70,23402.441333333336,23402.6,1.9994811549221856,Sideways,DOWN,UP,neutral,1.73916437273e+12,1.9000000000014552,8.80000000000291,39.20454545454076
23401.35,23403.1,23383.85,23388.15,23392.839666666685,23392.6,4.543885256278136,Sideways,DOWN,NEUTRAL,neutral,1.739164527226e+12,-13.19999999999709,19.25,77.66233766232254
23386.80,23390.15,23365.4,23366.40,23382.444000000014,23384.25,6.58841513567563,Sideways,DOWN,NEUTRAL,neutral,1.739164685225e+12,-20.399999999997817,24.75,95.95959595959596
23379.55,23397.3,23377,23392.50,23385.97133333334,23383.475,6.527736582375928,Sideways,DOWN,NEUTRAL,neutral,1.739164994736e+12,12.950000000000728,20.299999999999272,23.6453201970416
