confirmWindowMin,maxJump,maxRangeWidth,buffer,breachBuffer,breachConfirmSec,target,stopLoss,totalTrades,wins,losses,winRate,minDayWinRate,maxDayWinRate
1,10,15,0,0,0,8,8,1931,926,1005,47.95,39.3,54.5
1,10,15,0,0,0,8,10,1927,1033,894,53.61,47.9,59.9
1,10,15,0,0,0,8,15,1917,1209,708,63.07,56.6,69.8
1,10,15,0,0,0,10,8,1926,823,1103,42.73,36.8,47.8
1,10,15,0,0,0,10,10,1921,933,988,48.57,44.7,53.0
1,10,15,0,0,0,10,15,1911,1111,800,58.14,54.5,62.6
1,10,15,0,0,0,15,8,1924,645,1279,33.52,28.5,37.2
1,10,15,0,0,0,15,10,1919,750,1169,39.08,36.3,43.5
1,10,15,0,0,0,15,15,1908,919,989,48.17,44.4,52.2
1,10,15,0,0,15,8,8,871,440,431,50.52,44.6,56.7
1,10,15,0,0,15,8,10,871,488,383,56.03,49.4,59.8
1,10,15,0,0,15,8,15,869,569,300,65.48,56.6,68.8
1,10,15,0,0,15,10,8,869,389,480,44.76,37.3,49.6
1,10,15,0,0,15,10,10,869,436,433,50.17,44.6,53.5
1,10,15,0,0,15,10,15,867,523,344,60.32,50.6,64.3
1,10,15,0,0,15,15,8,869,304,565,34.98,26.5,39.8
1,10,15,0,0,15,15,10,868,345,523,39.75,32.9,43.8
1,10,15,0,0,15,15,15,865,429,436,49.60,39.5,55.4
1,10,15,0,0,30,8,8,701,349,352,49.79,42.2,58.8
1,10,15,0,0,30,8,10,700,386,314,55.14,53.3,61.9
1,10,15,0,0,30,8,15,698,459,239,65.76,61.9,69.5
1,10,15,0,0,30,10,8,700,305,395,43.57,36.1,54.8
1,10,15,0,0,30,10,10,699,346,353,49.50,46.8,59.0
1,10,15,0,0,30,10,15,697,422,275,60.55,56.5,66.7
1,10,15,0,0,30,15,8,700,241,459,34.43,29.0,44.0
1,10,15,0,0,30,15,10,698,280,418,40.11,35.7,47.0
1,10,15,0,0,30,15,15,696,352,344,50.57,42.6,59.0
1,10,15,0,5,0,8,8,576,276,300,47.92,43.5,52.9
1,10,15,0,5,0,8,10,576,307,269,53.30,47.8,57.9
1,10,15,0,5,0,8,15,572,360,212,62.94,52.2,70.0
1,10,15,0,5,0,10,8,576,240,336,41.67,36.2,48.2
1,10,15,0,5,0,10,10,576,269,307,46.70,42.1,51.8
1,10,15,0,5,0,10,15,572,328,244,57.34,50.0,63.3
1,10,15,0,5,0,15,8,575,191,384,33.22,29.6,38.8
1,10,15,0,5,0,15,10,574,220,354,38.33,31.1,43.5
1,10,15,0,5,0,15,15,570,273,297,47.89,40.0,52.9
1,10,15,0,5,15,8,8,326,161,165,49.39,38.1,54.4
1,10,15,0,5,15,8,10,326,179,147,54.91,45.5,64.6
1,10,15,0,5,15,8,15,324,214,110,66.05,59.1,76.5
1,10,15,0,5,15,10,8,326,150,176,46.01,33.3,50.9
1,10,15,0,5,15,10,10,326,168,158,51.53,44.3,60.4
1,10,15,0,5,15,10,15,324,201,123,62.04,57.1,69.0
1,10,15,0,5,15,15,8,325,117,208,36.00,23.8,41.7
1,10,15,0,5,15,15,10,325,131,194,40.31,37.5,47.9
1,10,15,0,5,15,15,15,323,170,153,52.63,42.9,57.6
1,10,15,0,5,30,8,8,267,135,132,50.56,43.8,61.5
1,10,15,0,5,30,8,10,267,151,116,56.55,50.0,69.2
1,10,15,0,5,30,8,15,266,170,96,63.91,56.3,84.6
1,10,15,0,5,30,10,8,267,124,143,46.44,38.9,60.5
1,10,15,0,5,30,10,10,267,140,127,52.43,43.1,65.8
1,10,15,0,5,30,10,15,266,159,107,59.77,50.0,76.9
1,10,15,0,5,30,15,8,267,101,166,37.83,23.1,47.4
1,10,15,0,5,30,15,10,267,117,150,43.82,30.8,52.6
1,10,15,0,5,30,15,15,265,135,130,50.94,41.7,60.5
1,10,15,0,10,0,8,8,248,118,130,47.58,34.4,53.8
1,10,15,0,10,0,8,10,248,137,111,55.24,46.7,65.2
1,10,15,0,10,0,8,15,248,156,92,62.90,51.4,73.9
1,10,15,0,10,0,10,8,247,104,143,42.11,34.4,46.7
1,10,15,0,10,0,10,10,247,123,124,49.80,45.5,57.1
1,10,15,0,10,0,10,15,247,144,103,58.30,50.0,68.8
1,10,15,0,10,0,15,8,247,83,164,33.60,20.0,39.0
1,10,15,0,10,0,15,10,247,100,147,40.49,20.0,53.6
1,10,15,0,10,0,15,15,247,119,128,48.18,33.3,56.4
1,10,15,0,10,15,8,8,159,85,74,53.46,40.0,64.7
1,10,15,0,10,15,8,10,159,95,64,59.75,48.1,75.0
1,10,15,0,10,15,8,15,159,111,48,69.81,59.1,78.6
1,10,15,0,10,15,10,8,159,77,82,48.43,30.0,64.7
1,10,15,0,10,15,10,10,159,87,72,54.72,40.0,67.9
1,10,15,0,10,15,10,15,159,106,53,66.67,55.6,76.5
1,10,15,0,10,15,15,8,158,60,98,37.97,30.0,45.5
1,10,15,0,10,15,15,10,158,69,89,43.67,33.3,53.6
1,10,15,0,10,15,15,15,158,87,71,55.06,44.4,64.3
1,10,15,0,10,30,8,8,131,69,62,52.67,37.5,65.0
1,10,15,0,10,30,8,10,130,76,54,58.46,37.5,70.0
1,10,15,0,10,30,8,15,130,88,42,67.69,60.0,80.0
1,10,15,0,10,30,10,8,131,59,72,45.04,25.0,60.0
1,10,15,0,10,30,10,10,130,67,63,51.54,25.0,65.0
1,10,15,0,10,30,10,15,130,83,47,63.85,50.0,80.0
1,10,15,0,10,30,15,8,131,47,84,35.88,20.0,55.0
1,10,15,0,10,30,15,10,130,54,76,41.54,20.0,60.0
1,10,15,0,10,30,15,15,130,73,57,56.15,37.5,75.0
1,10,15,8,0,0,8,8,327,154,173,47.09,26.1,60.7
1,10,15,8,0,0,8,10,327,171,156,52.29,30.4,64.3
1,10,15,8,0,0,8,15,326,209,117,64.11,52.2,71.4
1,10,15,8,0,0,10,8,327,138,189,42.20,26.1,57.1
1,10,15,8,0,0,10,10,327,157,170,48.01,30.4,60.7
1,10,15,8,0,0,10,15,325,196,129,60.31,50.0,66.7
1,10,15,8,0,0,15,8,327,107,220,32.72,13.0,50.0
1,10,15,8,0,0,15,10,326,126,200,38.65,17.4,53.6
1,10,15,8,0,0,15,15,324,160,164,49.38,36.4,57.1
1,10,15,8,0,15,8,8,218,108,110,49.54,35.7,59.4
1,10,15,8,0,15,8,10,218,122,96,55.96,35.7,65.6
1,10,15,8,0,15,8,15,218,140,78,64.22,50.0,79.3
1,10,15,8,0,15,10,8,218,101,117,46.33,35.7,59.4
1,10,15,8,0,15,10,10,218,114,104,52.29,35.7,65.6
1,10,15,8,0,15,10,15,218,132,86,60.55,42.9,72.4
1,10,15,8,0,15,15,8,217,78,139,35.94,27.6,46.9
1,10,15,8,0,15,15,10,217,89,128,41.01,28.6,56.3
1,10,15,8,0,15,15,15,217,112,105,51.61,35.7,62.5
1,10,15,8,0,30,8,8,183,90,93,49.18,40.9,69.2
1,10,15,8,0,30,8,10,183,100,83,54.64,45.5,69.2
1,10,15,8,0,30,8,15,182,115,67,63.19,52.0,78.3
1,10,15,8,0,30,10,8,183,82,101,44.81,27.3,69.2
1,10,15,8,0,30,10,10,183,92,91,50.27,27.3,69.2
1,10,15,8,0,30,10,15,182,103,79,56.59,36.4,73.9
1,10,15,8,0,30,15,8,183,68,115,37.16,26.1,57.7
1,10,15,8,0,30,15,10,183,76,107,41.53,27.3,57.7
1,10,15,8,0,30,15,15,182,87,95,47.80,36.0,61.5
1,10,15,8,5,0,8,8,159,84,75,52.83,38.5,66.7
1,10,15,8,5,0,8,10,159,96,63,60.38,46.2,73.3
1,10,15,8,5,0,8,15,159,113,46,71.07,53.8,86.7
1,10,15,8,5,0,10,8,159,77,82,48.43,38.5,61.5
1,10,15,8,5,0,10,10,159,89,70,55.97,46.2,69.2
1,10,15,8,5,0,10,15,159,107,52,67.30,53.8,73.3
1,10,15,8,5,0,15,8,159,54,105,33.96,23.1,53.8
1,10,15,8,5,0,15,10,158,64,94,40.51,30.8,61.5
1,10,15,8,5,0,15,15,157,84,73,53.50,33.3,66.7
1,10,15,8,5,15,8,8,127,62,65,48.82,42.9,60.0
1,10,15,8,5,15,8,10,126,68,58,53.97,42.9,70.0
1,10,15,8,5,15,8,15,126,79,47,62.70,50.0,80.0
1,10,15,8,5,15,10,8,127,57,70,44.88,35.7,60.0
1,10,15,8,5,15,10,10,126,62,64,49.21,37.5,70.0
1,10,15,8,5,15,10,15,126,73,53,57.94,37.5,80.0
1,10,15,8,5,15,15,8,127,47,80,37.01,33.3,45.0
1,10,15,8,5,15,15,10,126,52,74,41.27,33.3,55.0
1,10,15,8,5,15,15,15,126,65,61,51.59,37.5,70.0
1,10,15,8,5,30,8,8,104,59,45,56.73,30.8,78.9
1,10,15,8,5,30,8,10,104,62,42,59.62,38.5,84.2
1,10,15,8,5,30,8,15,103,68,35,66.02,38.5,84.2
1,10,15,8,5,30,10,8,104,53,51,50.96,23.1,73.7
1,10,15,8,5,30,10,10,104,56,48,53.85,30.8,78.9
1,10,15,8,5,30,10,15,103,62,41,60.19,30.8,78.9
1,10,15,8,5,30,15,8,104,42,62,40.38,15.4,50.0
1,10,15,8,5,30,15,10,104,45,59,43.27,23.1,50.0
1,10,15,8,5,30,15,15,103,54,49,52.43,23.1,66.7
1,10,15,8,10,0,8,8,104,53,51,50.96,39.3,66.7
1,10,15,8,10,0,8,10,104,65,39,62.50,50.0,77.8
1,10,15,8,10,0,8,15,104,68,36,65.38,57.1,77.8
1,10,15,8,10,0,10,8,103,46,57,44.66,33.3,61.1
1,10,15,8,10,0,10,10,103,58,45,56.31,46.4,72.2
1,10,15,8,10,0,10,15,103,61,42,59.22,50.0,72.2
1,10,15,8,10,0,15,8,103,37,66,35.92,16.7,44.4
1,10,15,8,10,0,15,10,103,50,53,48.54,33.3,66.7
1,10,15,8,10,0,15,15,103,53,50,51.46,33.3,66.7
1,10,15,8,10,15,8,8,73,42,31,57.53,22.2,78.6
1,10,15,8,10,15,8,10,73,44,29,60.27,22.2,78.6
1,10,15,8,10,15,8,15,73,50,23,68.49,33.3,85.7
1,10,15,8,10,15,10,8,73,40,33,54.79,22.2,78.6
1,10,15,8,10,15,10,10,73,42,31,57.53,22.2,78.6
1,10,15,8,10,15,10,15,73,49,24,67.12,33.3,85.7
1,10,15,8,10,15,15,8,73,30,43,41.10,22.2,57.1
1,10,15,8,10,15,15,10,73,32,41,43.84,22.2,57.1
1,10,15,8,10,15,15,15,72,40,32,55.56,33.3,70.6
1,10,15,8,10,30,8,8,72,37,35,51.39,42.9,75.0
1,10,15,8,10,30,8,10,72,41,31,56.94,42.9,76.9
1,10,15,8,10,30,8,15,72,45,27,62.50,42.9,85.7
1,10,15,8,10,30,10,8,72,34,38,47.22,33.3,75.0
